side,thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,mouse_none.started,image.started,mouse.started,mouse_none.stopped,image.stopped,mouse.stopped,trial.stopped,trials.mouse.x,trials.mouse.y,trials.mouse.leftButton,trials.mouse.midButton,trials.mouse.rightButton,trials.mouse.time,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
stimuli/mouse_left.jpg,0,0,0,[],[],[],[],[],[],0,0,0,0,0.03314369998406619,,0.02251610002713278,0.03314369998406619,0.19922390003921464,0.19922390003921464,0.23336740001104772,1.7002243000315502,1.7002243000315502,1.685600200027693,[],[],[],[],[],[],pilot,001,2025-06-17_21h42.28.508,mouse,,2025.1.1,59.84025047003978,2025-06-17 21h42.31.969744 +0200,
stimuli/mouse_right.jpg,1,1,0,[],[],[],[],[],[],0,1,1,1,1.7002243000315502,,1.6858170999912545,1.7002243000315502,1.8998082000180148,1.8998082000180148,1.8998082000180148,3.4002517000189982,3.4002517000189982,3.387050800025463,[],[],[],[],[],[],pilot,001,2025-06-17_21h42.28.508,mouse,,2025.1.1,59.84025047003978,2025-06-17 21h42.31.969744 +0200,
stimuli/mouse_left.jpg,2,0,1,[],[],[],[],[],[],1,0,2,0,3.4002517000189982,,3.387368299998343,3.4002517000189982,3.59910160000436,3.59910160000436,3.59910160000436,5.100149100006092,5.100149100006092,5.087983300036285,[],[],[],[],[],[],pilot,001,2025-06-17_21h42.28.508,mouse,,2025.1.1,59.84025047003978,2025-06-17 21h42.31.969744 +0200,
stimuli/mouse_right.jpg,3,1,1,[],[],[],[],[],[],1,1,3,1,5.100149100006092,,5.088251100038178,5.100149100006092,5.2992933000205085,5.2992933000205085,5.2992933000205085,6.800160499988124,6.800160499988124,6.787316700036172,[],[],[],[],[],[],pilot,001,2025-06-17_21h42.28.508,mouse,,2025.1.1,59.84025047003978,2025-06-17 21h42.31.969744 +0200,
stimuli/mouse_right.jpg,4,0,2,[],[],[],[],[],[],2,0,4,1,6.800160499988124,,6.787561600038316,6.800160499988124,7.000197899993509,7.000197899993509,7.000197899993509,8.499411199998576,8.499411199998576,8.485367499990389,[],[],[],[],[],[],pilot,001,2025-06-17_21h42.28.508,mouse,,2025.1.1,59.84025047003978,2025-06-17 21h42.31.969744 +0200,
stimuli/mouse_left.jpg,5,1,2,[],[],[],[],[],[],2,1,5,0,8.499411199998576,,8.485513799998444,8.499411199998576,8.700417799991556,8.700417799991556,8.700417799991556,10.20063510001637,10.20063510001637,10.187616500013974,[],[],[],[],[],[],pilot,001,2025-06-17_21h42.28.508,mouse,,2025.1.1,59.84025047003978,2025-06-17 21h42.31.969744 +0200,
stimuli/mouse_right.jpg,6,0,3,[],[],[],[],[],[],3,0,6,1,10.20063510001637,,10.187834799988195,10.20063510001637,10.399374400032684,10.399374400032684,10.41624230000889,11.900177800038364,11.900177800038364,11.887665499991272,[],[],[],[],[],[],pilot,001,2025-06-17_21h42.28.508,mouse,,2025.1.1,59.84025047003978,2025-06-17 21h42.31.969744 +0200,
stimuli/mouse_left.jpg,7,1,3,,,,,,,3,1,7,0,11.900177800038364,,11.887946800037753,11.900177800038364,12.101095199992415,12.101095199992415,12.101095199992415,,,,,,,,,,,,,,,,,,
