instructions.started,instructions.stopped,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.time,participant,session,date,expName,psychopyVersion,OS,frameRate,trial.started,trial.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,mouse_stim_side,stim_type,stim_side,thank_you.started,thank_you.stopped,mouse_4.x,mouse_4.y,mouse_4.leftButton,mouse_4.midButton,mouse_4.rightButton,mouse_4.time
0.0004,4.8869,[-0.002857142857142857],[0.15142857142857144],[1],[0],[0],[3.886200000017883],595558,001,2025-06-18_16h54.55.200,mouse,2025.1.1,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,595558,001,2025-06-18_16h54.55.200,mouse,2025.1.1,Win32,59.88023952,4.8913,5.5876,[-0.002857142857142857],[0.15047619047619049],[0],[0],[1],[0.4999000000059617],0,0,0,3,1,stimuli/mouse_right.jpg,button,R,,,,,,,,
,,,,,,,,595558,001,2025-06-18_16h54.55.200,mouse,2025.1.1,Win32,59.88023952,5.588,6.1378,[-0.002857142857142857],[0.14952380952380953],[1],[0],[0],[0.33279999998211807],0,1,1,0,1,stimuli/mouse_left.jpg,button,L,,,,,,,,
,,,,,,,,595558,001,2025-06-18_16h54.55.200,mouse,2025.1.1,Win32,59.88023952,6.1382,6.7382,[-0.002857142857142857],[0.14952380952380953],[1],[0],[0],[0.40019999998807876],0,2,2,2,1,stimuli/mouse_left.jpg,button,L,,,,,,,,
,,,,,,,,595558,001,2025-06-18_16h54.55.200,mouse,2025.1.1,Win32,59.88023952,6.7386,7.2887,[-0.002857142857142857],[0.14952380952380953],[0],[0],[1],[0.34990000000596133],0,3,3,1,1,stimuli/mouse_right.jpg,button,R,,,,,,,,
,,,,,,,,595558,001,2025-06-18_16h54.55.200,mouse,2025.1.1,Win32,59.88023952,7.2892,7.7891,[-0.002857142857142857],[0.14952380952380953],[1],[0],[0],[0.29800000000000004],1,0,4,2,1,stimuli/mouse_left.jpg,button,L,,,,,,,,
,,,,,,,,595558,001,2025-06-18_16h54.55.200,mouse,2025.1.1,Win32,59.88023952,7.7895,8.3561,[-0.002857142857142857],[0.14952380952380953],[0],[0],[1],[0.34990000000595955],1,1,5,1,1,stimuli/mouse_right.jpg,button,R,,,,,,,,
,,,,,,,,595558,001,2025-06-18_16h54.55.200,mouse,2025.1.1,Win32,59.88023952,8.3565,8.9567,[-0.002857142857142857],[0.14952380952380953],[0],[0],[1],[0.4003000000119208],1,2,6,3,1,stimuli/mouse_right.jpg,button,R,,,,,,,,
,,,,,,,,595558,001,2025-06-18_16h54.55.200,mouse,2025.1.1,Win32,59.88023952,8.957,9.5238,[-0.002857142857142857],[0.14952380952380953],[1],[0],[0],[0.35009999999403973],1,3,7,0,1,stimuli/mouse_left.jpg,button,L,,,,,,,,
,,,,,,,,595558,001,2025-06-18_16h54.55.200,mouse,2025.1.1,Win32,59.88023952,9.524,10.0908,[-0.002857142857142857],[0.14952380952380953],[0],[0],[1],[0.3492999999821169],2,0,8,3,1,stimuli/mouse_right.jpg,button,R,,,,,,,,
,,,,,,,,595558,001,2025-06-18_16h54.55.200,mouse,2025.1.1,Win32,59.88023952,10.0911,10.5762,[-0.002857142857142857],[0.14952380952380953],[1],[0],[0],[0.2841999999880791],2,1,9,0,1,stimuli/mouse_left.jpg,button,L,,,,,,,,
,,,,,,,,595558,001,2025-06-18_16h54.55.200,mouse,2025.1.1,Win32,59.88023952,10.5774,11.1757,[-0.002857142857142857],[0.14952380952380953],[0],[0],[1],[0.38409999999403865],2,2,10,1,1,stimuli/mouse_right.jpg,button,R,,,,,,,,
,,,,,,,,595558,001,2025-06-18_16h54.55.200,mouse,2025.1.1,Win32,59.88023952,11.1762,11.6925,[-0.002857142857142857],[0.14952380952380953],[1],[0],[0],[0.30010000002384096],2,3,11,2,1,stimuli/mouse_left.jpg,button,L,,,,,,,,
,,,,,,,,595558,001,2025-06-18_16h54.55.200,mouse,2025.1.1,Win32,59.88023952,11.6928,12.3758,[-0.002857142857142857],[0.14952380952380953],[1],[0],[0],[0.4668999999761567],3,0,12,2,1,stimuli/mouse_left.jpg,button,L,,,,,,,,
,,,,,,,,595558,001,2025-06-18_16h54.55.200,mouse,2025.1.1,Win32,59.88023952,12.3761,12.9765,[-0.002857142857142857],[0.14952380952380953],[0],[0],[1],[0.38340000000595964],3,1,13,3,1,stimuli/mouse_right.jpg,button,R,,,,,,,,
,,,,,,,,595558,001,2025-06-18_16h54.55.200,mouse,2025.1.1,Win32,59.88023952,12.9768,13.51,[-0.002857142857142857],[0.14952380952380953],[0],[0],[1],[0.3333000000119206],3,2,14,1,1,stimuli/mouse_right.jpg,button,R,,,,,,,,
,,,,,,,,595558,001,2025-06-18_16h54.55.200,mouse,2025.1.1,Win32,59.88023952,13.5104,14.0344,[-0.002857142857142857],[0.14952380952380953],[1],[0],[0],[0.3237999999821177],3,3,15,0,1,stimuli/mouse_left.jpg,button,L,,,,,,,,
,,,,,,,,595558,001,2025-06-18_16h54.55.200,mouse,2025.1.1,Win32,59.88023952,14.0351,14.6275,[-0.002857142857142857],[0.14952380952380953],[1],[0],[0],[0.3827000000178806],4,0,16,2,1,stimuli/mouse_left.jpg,button,L,,,,,,,,
,,,,,,,,595558,001,2025-06-18_16h54.55.200,mouse,2025.1.1,Win32,59.88023952,14.6278,15.1781,[-0.002857142857142857],[0.14952380952380953],[0],[0],[1],[0.35019999998807805],4,1,17,3,1,stimuli/mouse_right.jpg,button,R,,,,,,,,
,,,,,,,,595558,001,2025-06-18_16h54.55.200,mouse,2025.1.1,Win32,59.88023952,15.1785,15.7287,[-0.002857142857142857],[0.14952380952380953],[1],[0],[0],[0.34999999999999787],4,2,18,0,1,stimuli/mouse_left.jpg,button,L,,,,,,,,
,,,,,,,,595558,001,2025-06-18_16h54.55.200,mouse,2025.1.1,Win32,59.88023952,15.7293,16.3291,[-0.002857142857142857],[0.14952380952380953],[0],[0],[1],[0.3833000000119213],4,3,19,1,1,stimuli/mouse_right.jpg,button,R,,,,,,,,
,,,,,,,,595558,001,2025-06-18_16h54.55.200,mouse,2025.1.1,Win32,59.88023952,,,,,,,,,,,,,,,,,16.3294,17.7634,[-0.002857142857142857],[0.13523809523809524],[1],[0],[0],[0.43369999998807884]
