mouse_stim_side,thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,mouse_none.started,image.started,mouse.started,mouse_none.stopped,trial.stopped,trials.mouse.x,trials.mouse.y,trials.mouse.leftButton,trials.mouse.midButton,trials.mouse.rightButton,trials.mouse.time,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
stimuli/mouse_left.jpg,0,0,0,[np.float64(-0.06)],[np.float64(0.095)],[1],[0],[0],[1.2174033999908715],0,0,0,0,0.03274609998334199,,0.025127300003077835,0.03274609998334199,0.21565019997069612,0.21565019997069612,0.23232179996557534,1.4181181999738328,[np.float64(-0.06)],[np.float64(0.095)],[1],[0],[0],[1.2174033999908715],pilot,001,2025-06-17_21h55.51.705,mouse,,2025.1.1,59.843079459535005,2025-06-17 21h55.53.867417 +0200,
stimuli/mouse_right.jpg,1,1,0,[np.float64(-0.06666666666666667)],[np.float64(-0.08333333333333333)],[0],[0],[1],[0.5354949000175111],0,1,1,1,1.432387100008782,,1.4203883999725804,1.432387100008782,1.6325251999660395,1.6325251999660395,1.6325251999660395,2.152715399977751,[np.float64(-0.06666666666666667)],[np.float64(-0.08333333333333333)],[0],[0],[1],[0.5354949000175111],pilot,001,2025-06-17_21h55.51.705,mouse,,2025.1.1,59.843079459535005,2025-06-17 21h55.53.867417 +0200,
stimuli/mouse_left.jpg,2,0,1,[np.float64(-0.06666666666666667)],[np.float64(-0.08333333333333333)],[1],[0],[0],[0.31635810004081577],1,0,2,0,2.1659966000006534,,2.1550390999764204,2.1659966000006534,2.3690247999620624,2.3690247999620624,2.3690247999620624,2.6695007999660447,[np.float64(-0.06666666666666667)],[np.float64(-0.08333333333333333)],[1],[0],[0],[0.31635810004081577],pilot,001,2025-06-17_21h55.51.705,mouse,,2025.1.1,59.843079459535005,2025-06-17 21h55.53.867417 +0200,
stimuli/mouse_right.jpg,3,1,1,[np.float64(-0.06666666666666667)],[np.float64(-0.08333333333333333)],[1],[0],[0],[0.4318383999634534],1,1,3,1,2.682723799953237,,2.672806999995373,2.682723799953237,2.883000899979379,2.883000899979379,2.883000899979379,3.3021268000011332,[np.float64(-0.06666666666666667)],[np.float64(-0.08333333333333333)],[1],[0],[0],[0.4318383999634534],pilot,001,2025-06-17_21h55.51.705,mouse,,2025.1.1,59.843079459535005,2025-06-17 21h55.53.867417 +0200,
stimuli/mouse_left.jpg,4,0,2,[np.float64(-0.06666666666666667)],[np.float64(-0.08333333333333333)],[0],[0],[1],[0.2339147999882698],2,0,4,0,3.3159250000026077,,3.304169299954083,3.3159250000026077,3.5164882999961264,3.5164882999961264,3.5164882999961264,3.7361189000075683,[np.float64(-0.06666666666666667)],[np.float64(-0.08333333333333333)],[0],[0],[1],[0.2339147999882698],pilot,001,2025-06-17_21h55.51.705,mouse,,2025.1.1,59.843079459535005,2025-06-17 21h55.53.867417 +0200,
stimuli/mouse_right.jpg,5,1,2,[np.float64(-0.06666666666666667)],[np.float64(-0.08333333333333333)],[1],[0],[0],[0.2505168999778107],2,1,5,1,3.749271199980285,,3.7391757000004873,3.749271199980285,3.9504071999690495,3.9504071999690495,3.9504071999690495,4.186023099988233,[np.float64(-0.06666666666666667)],[np.float64(-0.08333333333333333)],[1],[0],[0],[0.2505168999778107],pilot,001,2025-06-17_21h55.51.705,mouse,,2025.1.1,59.843079459535005,2025-06-17 21h55.53.867417 +0200,
stimuli/mouse_left.jpg,6,0,3,[np.float64(-0.06666666666666667)],[np.float64(-0.08333333333333333)],[1],[0],[0],[0.23606839997228235],3,0,6,0,4.199905599991325,,4.18815329996869,4.199905599991325,4.4003790999995545,4.4003790999995545,4.4003790999995545,4.619999999995343,[np.float64(-0.06666666666666667)],[np.float64(-0.08333333333333333)],[1],[0],[0],[0.23606839997228235],pilot,001,2025-06-17_21h55.51.705,mouse,,2025.1.1,59.843079459535005,2025-06-17 21h55.53.867417 +0200,
stimuli/mouse_right.jpg,7,1,3,[np.float64(-0.06666666666666667)],[np.float64(-0.08333333333333333)],[0],[0],[1],[0.36602509999647737],3,1,7,1,4.632191899989266,,4.622900399961509,4.632191899989266,4.832651999953669,4.832651999953669,4.832651999953669,5.185329800006002,[np.float64(-0.06666666666666667)],[np.float64(-0.08333333333333333)],[0],[0],[1],[0.36602509999647737],pilot,001,2025-06-17_21h55.51.705,mouse,,2025.1.1,59.843079459535005,2025-06-17 21h55.53.867417 +0200,
stimuli/mouse_left.jpg,8,0,4,[np.float64(-0.06666666666666667)],[np.float64(-0.08333333333333333)],[1],[0],[0],[0.36479720001807436],4,0,8,0,5.199119600001723,,5.187341199954972,5.199119600001723,5.383149400004186,5.383149400004186,5.3993062999797985,5.734472399984952,[np.float64(-0.06666666666666667)],[np.float64(-0.08333333333333333)],[1],[0],[0],[0.36479720001807436],pilot,001,2025-06-17_21h55.51.705,mouse,,2025.1.1,59.843079459535005,2025-06-17 21h55.53.867417 +0200,
stimuli/mouse_right.jpg,9,1,4,[np.float64(-0.06666666666666667)],[np.float64(-0.08333333333333333)],[0],[0],[1],[0.3786359999794513],4,1,9,1,5.749195799988229,,5.736353899992537,5.749195799988229,5.933718799962662,5.933718799962662,5.950104299990926,6.301237199979369,[np.float64(-0.06666666666666667)],[np.float64(-0.08333333333333333)],[0],[0],[1],[0.3786359999794513],pilot,001,2025-06-17_21h55.51.705,mouse,,2025.1.1,59.843079459535005,2025-06-17 21h55.53.867417 +0200,
