instructions.started,instructions.stopped,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.time,participant,session,date,expName,psychopyVersion,OS,frameRate,trial.started,trial.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,mouse_stim_side,stim_type,stim_side,thank_you.started,thank_you.stopped,mouse_4.x,mouse_4.y,mouse_4.leftButton,mouse_4.midButton,mouse_4.rightButton,mouse_4.time
0.0002,1.812,[-0.013953993055555556],[-0.15852864583333334],[1],[0],[0],[0.800400000095367],890059,001,2025-06-18_20h25.10.254,mouse,2025.1.1,MacIntel,75.18796992,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,890059,001,2025-06-18_20h25.10.254,mouse,2025.1.1,MacIntel,75.18796992,1.8135,3.0267,[0.08760127314814815],[-0.024645543981481482],[0],[0],[1],[1.0007999999523172],0,0,0,3,1,stimuli/mouse_right.jpg,button,R,,,,,,,,
,,,,,,,,890059,001,2025-06-18_20h25.10.254,mouse,2025.1.1,MacIntel,75.18796992,3.0275,3.8662,[0.08623408564814815],[-0.024417679398148148],[0],[0],[1],[0.626699999809265],0,1,1,1,1,stimuli/mouse_right.jpg,button,R,,,,,,,,
,,,,,,,,890059,001,2025-06-18_20h25.10.254,mouse,2025.1.1,MacIntel,75.18796992,3.8665,4.5327,[0.08532262731481481],[-0.024417679398148148],[1],[0],[0],[0.4653999998569489],0,2,2,0,1,stimuli/mouse_left.jpg,button,L,,,,,,,,
,,,,,,,,890059,001,2025-06-18_20h25.10.254,mouse,2025.1.1,MacIntel,75.18796992,4.5336,5.2804,[0.08532262731481481],[-0.024417679398148148],[1],[0],[0],[0.5467999999523165],0,3,3,2,1,stimuli/mouse_left.jpg,button,L,,,,,,,,
,,,,,,,,890059,001,2025-06-18_20h25.10.254,mouse,2025.1.1,MacIntel,75.18796992,5.2811,6.0938,[0.08532262731481481],[-0.024417679398148148],[1],[0],[0],[0.5999999999999996],1,0,4,2,1,stimuli/mouse_left.jpg,button,L,,,,,,,,
,,,,,,,,890059,001,2025-06-18_20h25.10.254,mouse,2025.1.1,MacIntel,75.18796992,6.0942,6.6933,[0.08532262731481481],[-0.024417679398148148],[0],[0],[1],[0.39820000004768374],1,1,5,3,1,stimuli/mouse_right.jpg,button,R,,,,,,,,
,,,,,,,,890059,001,2025-06-18_20h25.10.254,mouse,2025.1.1,MacIntel,75.18796992,6.6944,7.3211,[0.08532262731481481],[-0.024417679398148148],[0],[0],[1],[0.4267000000476848],1,2,6,1,1,stimuli/mouse_right.jpg,button,R,,,,,,,,
,,,,,,,,890059,001,2025-06-18_20h25.10.254,mouse,2025.1.1,MacIntel,75.18796992,7.322,7.9212,[0.08532262731481481],[-0.024417679398148148],[1],[0],[0],[0.38599999999999923],1,3,7,0,1,stimuli/mouse_left.jpg,button,L,,,,,,,,
,,,,,,,,890059,001,2025-06-18_20h25.10.254,mouse,2025.1.1,MacIntel,75.18796992,7.9216,8.4951,[0.08532262731481481],[-0.024417679398148148],[0],[0],[1],[0.37260000014305206],2,0,8,1,1,stimuli/mouse_right.jpg,button,R,,,,,,,,
,,,,,,,,890059,001,2025-06-18_20h25.10.254,mouse,2025.1.1,MacIntel,75.18796992,8.4958,9.0552,[0.08532262731481481],[-0.024417679398148148],[1],[0],[0],[0.3461999998092651],2,1,9,2,1,stimuli/mouse_left.jpg,button,L,,,,,,,,
,,,,,,,,890059,001,2025-06-18_20h25.10.254,mouse,2025.1.1,MacIntel,75.18796992,9.0562,9.5621,[0.08532262731481481],[-0.024417679398148148],[0],[0],[1],[0.2928999998569495],2,2,10,3,1,stimuli/mouse_right.jpg,button,R,,,,,,,,
,,,,,,,,890059,001,2025-06-18_20h25.10.254,mouse,2025.1.1,MacIntel,75.18796992,9.5628,10.0812,[0.08532262731481481],[-0.024417679398148148],[1],[0],[0],[0.30539999985695054],2,3,11,0,1,stimuli/mouse_left.jpg,button,L,,,,,,,,
,,,,,,,,890059,001,2025-06-18_20h25.10.254,mouse,2025.1.1,MacIntel,75.18796992,10.0816,10.5758,[0.08532262731481481],[-0.024417679398148148],[0],[0],[1],[0.2927999999523152],3,0,12,1,1,stimuli/mouse_right.jpg,button,R,,,,,,,,
,,,,,,,,890059,001,2025-06-18_20h25.10.254,mouse,2025.1.1,MacIntel,75.18796992,10.5765,11.2159,[0.08509476273148148],[-0.024866174768518517],[0],[0],[1],[0.43989999985694794],3,1,13,3,1,stimuli/mouse_right.jpg,button,R,,,,,,,,
,,,,,,,,890059,001,2025-06-18_20h25.10.254,mouse,2025.1.1,MacIntel,75.18796992,11.2162,11.7891,[0.08216145833333334],[-0.02458767361111111],[1],[0],[0],[0.35970000004768465],3,2,14,0,1,stimuli/mouse_left.jpg,button,L,,,,,,,,
,,,,,,,,890059,001,2025-06-18_20h25.10.254,mouse,2025.1.1,MacIntel,75.18796992,11.7899,12.523,[0.08216145833333334],[-0.02458767361111111],[1],[0],[0],[0.5332000000476853],3,3,15,2,1,stimuli/mouse_left.jpg,button,L,,,,,,,,
,,,,,,,,890059,001,2025-06-18_20h25.10.254,mouse,2025.1.1,MacIntel,75.18796992,12.5235,13.1099,[0.08216145833333334],[-0.02458767361111111],[0],[0],[1],[0.37279999995231705],4,0,16,1,1,stimuli/mouse_right.jpg,button,R,,,,,,,,
,,,,,,,,890059,001,2025-06-18_20h25.10.254,mouse,2025.1.1,MacIntel,75.18796992,13.1104,13.6569,[0.08216145833333334],[-0.02458767361111111],[1],[0],[0],[0.3329999999999984],4,1,17,2,1,stimuli/mouse_left.jpg,button,L,,,,,,,,
,,,,,,,,890059,001,2025-06-18_20h25.10.254,mouse,2025.1.1,MacIntel,75.18796992,13.6576,14.377,[0.08216145833333334],[-0.02458767361111111],[1],[0],[0],[0.5069999999999979],4,2,18,0,1,stimuli/mouse_left.jpg,button,L,,,,,,,,
,,,,,,,,890059,001,2025-06-18_20h25.10.254,mouse,2025.1.1,MacIntel,75.18796992,14.3775,14.9103,[0.08216145833333334],[-0.02458767361111111],[0],[0],[1],[0.3197999999523162],4,3,19,3,1,stimuli/mouse_right.jpg,button,R,,,,,,,,
,,,,,,,,890059,001,2025-06-18_20h25.10.254,mouse,2025.1.1,MacIntel,75.18796992,,,,,,,,,,,,,,,,,14.9108,16.4716,[0.07568359375],[-0.0669921875],[1],[0],[0],[0.560299999952317]
