mouse_stim_side,thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,mouse_none.started,image.started,mouse.started,mouse_none.stopped,image.stopped,mouse.stopped,trial.stopped,trials.mouse.x,trials.mouse.y,trials.mouse.leftButton,trials.mouse.midButton,trials.mouse.rightButton,trials.mouse.time,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
stimuli/mouse_left.jpg,0,0,0,[],[],[],[],[],[],0,0,0,0,0.04615230002673343,,0.036218699999153614,0.04615230002673343,0.2126086000353098,0.2126086000353098,0.24554890004219487,1.7132472000084817,1.7132472000084817,1.6981644000043161,[],[],[],[],[],[],pilot,001,2025-06-17_21h53.57.755,mouse,,2025.1.1,60.237589084718195,2025-06-17 21h54.00.903604 +0200,
stimuli/mouse_right.jpg,1,1,0,[],[],[],[],[],[],0,1,1,1,1.7132472000084817,,1.7028802999993786,1.7132472000084817,1.9129200000315905,1.9129200000315905,1.9129200000315905,3.413242800044827,3.413242800044827,3.400099200021941,[],[],[],[],[],[],pilot,001,2025-06-17_21h53.57.755,mouse,,2025.1.1,60.237589084718195,2025-06-17 21h54.00.903604 +0200,
