instructions.started,instructions.stopped,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.time,participant,session,date,expName,psychopyVersion,OS,frameRate,trial.started,trial.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,mouse_stim_side,stim_type,stim_side,thank_you.started,thank_you.stopped,mouse_4.x,mouse_4.y,mouse_4.leftButton,mouse_4.midButton,mouse_4.rightButton,mouse_4.time
0.001,2.762,[0.00740743566442419],[0.008333347461841724],[0],[0],[1],[1.75],342345,001,2025-06-18_20h25.04.243,mouse,2025.1.1,Win32,30.0120048,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,342345,001,2025-06-18_20h25.04.243,mouse,2025.1.1,Win32,30.0120048,2.767,3.417,[0.006481453224464699],[0.008333347461841724],[0],[0],[1],[0.4529999999999994],0,0,0,3,1,stimuli/mouse_right.jpg,button,R,,,,,,,,
,,,,,,,,342345,001,2025-06-18_20h25.04.243,mouse,2025.1.1,Win32,30.0120048,3.417,4.03,[0.006481453224464699],[0.008333347461841724],[1],[0],[0],[0.400999999999998],0,1,1,2,1,stimuli/mouse_left.jpg,button,L,,,,,,,,
,,,,,,,,342345,001,2025-06-18_20h25.04.243,mouse,2025.1.1,Win32,30.0120048,4.031,4.642,[0.006481453224464699],[0.008333347461841724],[1],[0],[0],[0.4039999999999999],0,2,2,0,1,stimuli/mouse_left.jpg,button,L,,,,,,,,
,,,,,,,,342345,001,2025-06-18_20h25.04.243,mouse,2025.1.1,Win32,30.0120048,4.642,5.229,[0.006481453224464699],[0.008333347461841724],[0],[0],[1],[0.3810000000000002],0,3,3,1,1,stimuli/mouse_right.jpg,button,R,,,,,,,,
,,,,,,,,342345,001,2025-06-18_20h25.04.243,mouse,2025.1.1,Win32,30.0120048,5.23,5.862,[0.006481453224464699],[0.008333347461841724],[0],[0],[1],[0.4280000000000008],1,0,4,3,1,stimuli/mouse_right.jpg,button,R,,,,,,,,
,,,,,,,,342345,001,2025-06-18_20h25.04.243,mouse,2025.1.1,Win32,30.0120048,5.863,6.495,[0.006481453224464699],[0.008333347461841724],[0],[0],[1],[0.41600000000000037],1,1,5,1,1,stimuli/mouse_right.jpg,button,R,,,,,,,,
,,,,,,,,342345,001,2025-06-18_20h25.04.243,mouse,2025.1.1,Win32,30.0120048,6.496,7.112,[0.006481453224464699],[0.008333347461841724],[1],[0],[0],[0.39899999999999736],1,2,6,2,1,stimuli/mouse_left.jpg,button,L,,,,,,,,
,,,,,,,,342345,001,2025-06-18_20h25.04.243,mouse,2025.1.1,Win32,30.0120048,7.113,7.68,[0.006481453224464699],[0.008333347461841724],[1],[0],[0],[0.36599999999999966],1,3,7,0,1,stimuli/mouse_left.jpg,button,L,,,,,,,,
,,,,,,,,342345,001,2025-06-18_20h25.04.243,mouse,2025.1.1,Win32,30.0120048,7.681,8.278,[0.006481453224464699],[0.008333347461841724],[1],[0],[0],[0.3829999999999991],2,0,8,0,1,stimuli/mouse_left.jpg,button,L,,,,,,,,
,,,,,,,,342345,001,2025-06-18_20h25.04.243,mouse,2025.1.1,Win32,30.0120048,8.279,8.848,[0.006481453224464699],[0.008333347461841724],[0],[0],[1],[0.36499999999999844],2,1,9,3,1,stimuli/mouse_right.jpg,button,R,,,,,,,,
,,,,,,,,342345,001,2025-06-18_20h25.04.243,mouse,2025.1.1,Win32,30.0120048,8.848,9.429,[0.006481453224464699],[0.008333347461841724],[1],[0],[0],[0.3670000000000009],2,2,10,2,1,stimuli/mouse_left.jpg,button,L,,,,,,,,
,,,,,,,,342345,001,2025-06-18_20h25.04.243,mouse,2025.1.1,Win32,30.0120048,9.43,9.978,[0.006481453224464699],[0.008333347461841724],[0],[0],[1],[0.3309999999999995],2,3,11,1,1,stimuli/mouse_right.jpg,button,R,,,,,,,,
,,,,,,,,342345,001,2025-06-18_20h25.04.243,mouse,2025.1.1,Win32,30.0120048,9.98,10.495,[0.006481453224464699],[0.008333347461841724],[1],[0],[0],[0.3150000000000013],3,0,12,0,1,stimuli/mouse_left.jpg,button,L,,,,,,,,
,,,,,,,,342345,001,2025-06-18_20h25.04.243,mouse,2025.1.1,Win32,30.0120048,10.496,11.012,[0.006481453224464699],[0.008333347461841724],[0],[0],[1],[0.3150000000000013],3,1,13,3,1,stimuli/mouse_right.jpg,button,R,,,,,,,,
,,,,,,,,342345,001,2025-06-18_20h25.04.243,mouse,2025.1.1,Win32,30.0120048,11.012,11.645,[0.006481453224464699],[0.008333347461841724],[0],[0],[1],[0.4170000000000016],3,2,14,1,1,stimuli/mouse_right.jpg,button,R,,,,,,,,
,,,,,,,,342345,001,2025-06-18_20h25.04.243,mouse,2025.1.1,Win32,30.0120048,11.646,12.212,[0.006481453224464699],[0.008333347461841724],[1],[0],[0],[0.365000000000002],3,3,15,2,1,stimuli/mouse_left.jpg,button,L,,,,,,,,
,,,,,,,,342345,001,2025-06-18_20h25.04.243,mouse,2025.1.1,Win32,30.0120048,12.213,12.778,[0.006481453224464699],[0.008333347461841724],[0],[0],[1],[0.3490000000000002],4,0,16,3,1,stimuli/mouse_right.jpg,button,R,,,,,,,,
,,,,,,,,342345,001,2025-06-18_20h25.04.243,mouse,2025.1.1,Win32,30.0120048,12.779,13.345,[0.006481453224464699],[0.008333347461841724],[0],[0],[1],[0.36599999999999966],4,1,17,1,1,stimuli/mouse_right.jpg,button,R,,,,,,,,
,,,,,,,,342345,001,2025-06-18_20h25.04.243,mouse,2025.1.1,Win32,30.0120048,13.346,13.913,[0.006481453224464699],[0.008333347461841724],[1],[0],[0],[0.3619999999999983],4,2,18,0,1,stimuli/mouse_left.jpg,button,L,,,,,,,,
,,,,,,,,342345,001,2025-06-18_20h25.04.243,mouse,2025.1.1,Win32,30.0120048,13.914,14.549,[0.006481453224464699],[0.009259259259259259],[1],[0],[0],[0.4209999999999994],4,3,19,2,1,stimuli/mouse_left.jpg,button,L,,,,,,,,
,,,,,,,,342345,001,2025-06-18_20h25.04.243,mouse,2025.1.1,Win32,30.0120048,,,,,,,,,,,,,,,,,14.549,16.833,[0.005555541427047165],[0.005555541427047165],[0],[0],[1],[1.2700000000000031]
