instructions.started,instructions.stopped,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.time,participant,session,date,expName,psychopyVersion,OS,frameRate,trial.started,trial.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,mouse_stim_side,stim_type,stim_side,thank_you.started,thank_you.stopped,mouse_4.x,mouse_4.y,mouse_4.leftButton,mouse_4.midButton,mouse_4.rightButton,mouse_4.time
0,4.402,[-0.08666666666666667],[-0.09888888888888889],[1],[0],[0],[3.400000000000002],370701,001,2025-06-18_15h54.52.181,mouse,2025.1.1,MacIntel,58.82352941,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,370701,001,2025-06-18_15h54.52.181,mouse,2025.1.1,MacIntel,58.82352941,4.405,5.202,[-0.08666666666666667],[-0.09888888888888889],[1],[0],[0],[0.5839999999999996],0,0,0,2,1,stimuli/mouse_left.jpg,button,L,,,,,,,,
,,,,,,,,370701,001,2025-06-18_15h54.52.181,mouse,2025.1.1,MacIntel,58.82352941,5.203,5.884,[-0.08666666666666667],[-0.09888888888888889],[1],[0],[0],[0.46399999999999864],0,1,1,1,1,stimuli/mouse_right.jpg,button,R,,,,,,,,
,,,,,,,,370701,001,2025-06-18_15h54.52.181,mouse,2025.1.1,MacIntel,58.82352941,5.885,6.535,[-0.08666666666666667],[-0.09888888888888889],[1],[0],[0],[0.43299999999999983],0,2,2,0,1,stimuli/mouse_left.jpg,button,L,,,,,,,,
,,,,,,,,370701,001,2025-06-18_15h54.52.181,mouse,2025.1.1,MacIntel,58.82352941,6.535,7.084,[-0.08666666666666667],[-0.09888888888888889],[1],[0],[0],[0.3490000000000002],0,3,3,3,1,stimuli/mouse_right.jpg,button,R,,,,,,,,
,,,,,,,,370701,001,2025-06-18_15h54.52.181,mouse,2025.1.1,MacIntel,58.82352941,7.084,7.634,[-0.08666666666666667],[-0.09888888888888889],[1],[0],[0],[0.3329999999999984],1,0,4,2,1,stimuli/mouse_left.jpg,button,L,,,,,,,,
,,,,,,,,370701,001,2025-06-18_15h54.52.181,mouse,2025.1.1,MacIntel,58.82352941,7.635,8.334,[-0.08666666666666667],[-0.09888888888888889],[1],[0],[0],[0.49900000000000233],1,1,5,0,1,stimuli/mouse_left.jpg,button,L,,,,,,,,
,,,,,,,,370701,001,2025-06-18_15h54.52.181,mouse,2025.1.1,MacIntel,58.82352941,8.335,8.951,[-0.08666666666666667],[-0.09888888888888889],[1],[0],[0],[0.3999999999999986],1,2,6,3,1,stimuli/mouse_right.jpg,button,R,,,,,,,,
,,,,,,,,370701,001,2025-06-18_15h54.52.181,mouse,2025.1.1,MacIntel,58.82352941,8.951,9.467,[-0.08666666666666667],[-0.09444444444444444],[1],[0],[0],[0.31599999999999895],1,3,7,1,1,stimuli/mouse_right.jpg,button,R,,,,,,,,
,,,,,,,,370701,001,2025-06-18_15h54.52.181,mouse,2025.1.1,MacIntel,58.82352941,9.467,10.068,[-0.08666666666666667],[-0.09333333333333334],[1],[0],[0],[0.3999999999999986],2,0,8,0,1,stimuli/mouse_left.jpg,button,L,,,,,,,,
,,,,,,,,370701,001,2025-06-18_15h54.52.181,mouse,2025.1.1,MacIntel,58.82352941,10.068,10.65,[-0.08666666666666667],[-0.09333333333333334],[1],[0],[0],[0.36599999999999966],2,1,9,2,1,stimuli/mouse_left.jpg,button,L,,,,,,,,
,,,,,,,,370701,001,2025-06-18_15h54.52.181,mouse,2025.1.1,MacIntel,58.82352941,10.651,11.218,[-0.08666666666666667],[-0.09333333333333334],[1],[0],[0],[0.36599999999999966],2,2,10,1,1,stimuli/mouse_right.jpg,button,R,,,,,,,,
,,,,,,,,370701,001,2025-06-18_15h54.52.181,mouse,2025.1.1,MacIntel,58.82352941,11.218,11.918,[-0.08666666666666667],[-0.09555555555555556],[1],[0],[0],[0.48400000000000176],2,3,11,3,1,stimuli/mouse_right.jpg,button,R,,,,,,,,
,,,,,,,,370701,001,2025-06-18_15h54.52.181,mouse,2025.1.1,MacIntel,58.82352941,11.918,12.501,[-0.08666666666666667],[-0.09555555555555556],[1],[0],[0],[0.36499999999999844],3,0,12,2,1,stimuli/mouse_left.jpg,button,L,,,,,,,,
,,,,,,,,370701,001,2025-06-18_15h54.52.181,mouse,2025.1.1,MacIntel,58.82352941,12.501,13.251,[-0.08666666666666667],[-0.09555555555555556],[1],[0],[0],[0.532],3,1,13,1,1,stimuli/mouse_right.jpg,button,R,,,,,,,,
,,,,,,,,370701,001,2025-06-18_15h54.52.181,mouse,2025.1.1,MacIntel,58.82352941,13.251,13.968,[-0.08666666666666667],[-0.09444444444444444],[1],[0],[0],[0.5],3,2,14,0,1,stimuli/mouse_left.jpg,button,L,,,,,,,,
,,,,,,,,370701,001,2025-06-18_15h54.52.181,mouse,2025.1.1,MacIntel,58.82352941,13.968,14.801,[-0.08666666666666667],[-0.09444444444444444],[0],[0],[1],[0.6329999999999991],3,3,15,3,1,stimuli/mouse_right.jpg,button,R,,,,,,,,
,,,,,,,,370701,001,2025-06-18_15h54.52.181,mouse,2025.1.1,MacIntel,58.82352941,14.801,15.601,[-0.08666666666666667],[-0.09444444444444444],[1],[0],[0],[0.583000000000002],4,0,16,2,1,stimuli/mouse_left.jpg,button,L,,,,,,,,
,,,,,,,,370701,001,2025-06-18_15h54.52.181,mouse,2025.1.1,MacIntel,58.82352941,15.602,16.255,[-0.08666666666666667],[-0.09444444444444444],[1],[0],[0],[0.43599999999999284],4,1,17,3,1,stimuli/mouse_right.jpg,button,R,,,,,,,,
,,,,,,,,370701,001,2025-06-18_15h54.52.181,mouse,2025.1.1,MacIntel,58.82352941,16.255,17.058,[-0.08666666666666667],[-0.09444444444444444],[1],[0],[0],[0.5890000000000022],4,2,18,1,1,stimuli/mouse_right.jpg,button,R,,,,,,,,
,,,,,,,,370701,001,2025-06-18_15h54.52.181,mouse,2025.1.1,MacIntel,58.82352941,17.059,17.718,[-0.08666666666666667],[-0.09444444444444444],[1],[0],[0],[0.44899999999999807],4,3,19,0,1,stimuli/mouse_left.jpg,button,L,,,,,,,,
,,,,,,,,370701,001,2025-06-18_15h54.52.181,mouse,2025.1.1,MacIntel,58.82352941,,,,,,,,,,,,,,,,,17.718,19.451,[-0.08666666666666667],[-0.09444444444444444],[1],[0],[0],[0.7330000000000005]
