instructions.started,instructions.stopped,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.time,participant,session,date,expName,psychopyVersion,OS,frameRate,trial.started,trial.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,mouse_stim_side,stim_type,stim_side,thank_you.started,thank_you.stopped,mouse_4.x,mouse_4.y,mouse_4.leftButton,mouse_4.midButton,mouse_4.rightButton,mouse_4.time
0.0066,7.4309,[-0.04722220809371383],[-0.10925928751627605],[1],[0],[0],[6.4156000000238445],323417,001,2025-06-18_15h55.01.062,mouse,2025.1.1,Win32,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,323417,001,2025-06-18_15h55.01.062,mouse,2025.1.1,Win32,60.24096386,7.4359,8.1633,[-0.021296253910771123],[-0.07962965082239222],[0],[0],[1],[0.515500000000003],0,0,0,1,1,stimuli/mouse_right.jpg,button,R,,,,,,,,
,,,,,,,,323417,001,2025-06-18_15h55.01.062,mouse,2025.1.1,Win32,60.24096386,8.1637,8.9129,[-0.01111108285409433],[-0.07962965082239222],[1],[0],[0],[0.5324999999999989],0,1,1,2,1,stimuli/mouse_left.jpg,button,L,,,,,,,,
,,,,,,,,323417,001,2025-06-18_15h55.01.062,mouse,2025.1.1,Win32,60.24096386,8.9133,9.7132,[-0.005555541427047165],[-0.07592593299018012],[1],[0],[0],[0.5833999999761588],0,2,2,0,1,stimuli/mouse_left.jpg,button,L,,,,,,,,
,,,,,,,,323417,001,2025-06-18_15h55.01.062,mouse,2025.1.1,Win32,60.24096386,9.7139,10.3299,[-0.005555541427047165],[-0.07592593299018012],[0],[0],[1],[0.39980000001192195],0,3,3,3,1,stimuli/mouse_right.jpg,button,R,,,,,,,,
,,,,,,,,323417,001,2025-06-18_15h55.01.062,mouse,2025.1.1,Win32,60.24096386,10.3309,11.096,[-0.004629629629629629],[-0.07592593299018012],[0],[0],[1],[0.5496999999880785],1,0,4,3,1,stimuli/mouse_right.jpg,button,R,,,,,,,,
,,,,,,,,323417,001,2025-06-18_15h55.01.062,mouse,2025.1.1,Win32,60.24096386,11.0964,11.7792,[-0.004629629629629629],[-0.07592593299018012],[0],[0],[1],[0.4828999999761585],1,1,5,1,1,stimuli/mouse_right.jpg,button,R,,,,,,,,
,,,,,,,,323417,001,2025-06-18_15h55.01.062,mouse,2025.1.1,Win32,60.24096386,11.7797,12.413,[-0.004629629629629629],[-0.07592593299018012],[1],[0],[0],[0.43239999997615897],1,2,6,2,1,stimuli/mouse_left.jpg,button,L,,,,,,,,
,,,,,,,,323417,001,2025-06-18_15h55.01.062,mouse,2025.1.1,Win32,60.24096386,12.4136,13.163,[-0.003703717832212095],[-0.07500002119276258],[1],[0],[0],[0.5334000000357619],1,3,7,0,1,stimuli/mouse_left.jpg,button,L,,,,,,,,
,,,,,,,,323417,001,2025-06-18_15h55.01.062,mouse,2025.1.1,Win32,60.24096386,13.1639,13.8793,[0.0009259117974175347],[-0.07500002119276258],[1],[0],[0],[0.49959999996423576],2,0,8,0,1,stimuli/mouse_left.jpg,button,L,,,,,,,,
