instructions.started,instructions.stopped,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.time,participant,session,date,expName,psychopyVersion,OS,frameRate,trial.started,trial.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,mouse_stim_side,stim_type,stim_side,thank_you.started,thank_you.stopped,mouse_4.x,mouse_4.y,mouse_4.leftButton,mouse_4.midButton,mouse_4.rightButton,mouse_4.time
0,5.811,[-0.046789989118607184],[0.013601741022850925],[1],[0],[0],[4.799999999999998],172324,001,2025-06-18_10h55.00.601,mouse,2025.1.1,MacIntel,60.60606061,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,172324,001,2025-06-18_10h55.00.601,mouse,2025.1.1,MacIntel,60.60606061,5.816,6.594,[-0.046789989118607184],[0.013601741022850925],[1],[0],[0],[0.5640000000000001],0,0,0,2,1,stimuli/mouse_left.jpg,button,L,,,,,,,,
,,,,,,,,172324,001,2025-06-18_10h55.00.601,mouse,2025.1.1,MacIntel,60.60606061,6.595,7.244,[-0.046789989118607184],[0.013601741022850925],[1],[0],[0],[0.43299999999999983],0,1,1,1,1,stimuli/mouse_right.jpg,button,R,,,,,,,,
,,,,,,,,172324,001,2025-06-18_10h55.00.601,mouse,2025.1.1,MacIntel,60.60606061,7.245,7.96,[-0.046789989118607184],[0.013601741022850925],[1],[0],[0],[0.49900000000000055],0,2,2,3,1,stimuli/mouse_right.jpg,button,R,,,,,,,,
,,,,,,,,172324,001,2025-06-18_10h55.00.601,mouse,2025.1.1,MacIntel,60.60606061,7.961,8.577,[-0.046789989118607184],[0.013601741022850925],[1],[0],[0],[0.4139999999999997],0,3,3,0,1,stimuli/mouse_left.jpg,button,L,,,,,,,,
,,,,,,,,172324,001,2025-06-18_10h55.00.601,mouse,2025.1.1,MacIntel,60.60606061,8.578,9.26,[-0.046789989118607184],[0.013601741022850925],[1],[0],[0],[0.4660000000000011],1,0,4,2,1,stimuli/mouse_left.jpg,button,L,,,,,,,,
,,,,,,,,172324,001,2025-06-18_10h55.00.601,mouse,2025.1.1,MacIntel,60.60606061,9.262,9.927,[-0.046789989118607184],[0.013601741022850925],[1],[0],[0],[0.44899999999999984],1,1,5,1,1,stimuli/mouse_right.jpg,button,R,,,,,,,,
,,,,,,,,172324,001,2025-06-18_10h55.00.601,mouse,2025.1.1,MacIntel,60.60606061,9.928,10.593,[-0.046789989118607184],[0.013601741022850925],[1],[0],[0],[0.44899999999999984],1,2,6,3,1,stimuli/mouse_right.jpg,button,R,,,,,,,,
,,,,,,,,172324,001,2025-06-18_10h55.00.601,mouse,2025.1.1,MacIntel,60.60606061,10.595,11.227,[-0.046789989118607184],[0.013601741022850925],[1],[0],[0],[0.41600000000000037],1,3,7,0,1,stimuli/mouse_left.jpg,button,L,,,,,,,,
,,,,,,,,172324,001,2025-06-18_10h55.00.601,mouse,2025.1.1,MacIntel,60.60606061,11.227,11.911,[-0.046789989118607184],[0.013601741022850925],[1],[0],[0],[0.46699999999999875],2,0,8,2,1,stimuli/mouse_left.jpg,button,L,,,,,,,,
