instructions.started,instructions.stopped,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.time,participant,session,date,expName,psychopyVersion,OS,frameRate,trial.started,trial.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,mouse_stim_side,stim_type,stim_side,thank_you.started,thank_you.stopped,mouse_4.x,mouse_4.y,mouse_4.leftButton,mouse_4.midButton,mouse_4.rightButton,mouse_4.time
0.0003,2.365,[-0.04444440205891927],[0.020370377434624568],[1],[0],[0],[1.3498999999761594],375973,001,2025-06-18_10h55.05.512,mouse,2025.1.1,Win32,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,375973,001,2025-06-18_10h55.05.512,mouse,2025.1.1,Win32,60.24096386,2.369,3.1886,[-0.04444440205891927],[0.020370377434624568],[1],[0],[0],[0.6069000000357612],0,0,0,3,1,stimuli/mouse_right.jpg,button,R,,,,,,,,
,,,,,,,,375973,001,2025-06-18_10h55.05.512,mouse,2025.1.1,Win32,60.24096386,3.1894,3.9639,[-0.04444440205891927],[0.020370377434624568],[1],[0],[0],[0.5662999999523137],0,1,1,1,1,stimuli/mouse_right.jpg,button,R,,,,,,,,
,,,,,,,,375973,001,2025-06-18_10h55.05.512,mouse,2025.1.1,Win32,60.24096386,3.9651,4.6496,[-0.04444440205891927],[0.020370377434624568],[1],[0],[0],[0.4804000000357611],0,2,2,2,1,stimuli/mouse_left.jpg,button,L,,,,,,,,
,,,,,,,,375973,001,2025-06-18_10h55.05.512,mouse,2025.1.1,Win32,60.24096386,4.651,5.498,[-0.04444440205891927],[0.020370377434624568],[1],[0],[0],[0.6278000000119235],0,3,3,0,1,stimuli/mouse_left.jpg,button,L,,,,,,,,
,,,,,,,,375973,001,2025-06-18_10h55.05.512,mouse,2025.1.1,Win32,60.24096386,5.4996,6.1969,[-0.04444440205891927],[0.020370377434624568],[1],[0],[0],[0.47949999999999804],1,0,4,2,1,stimuli/mouse_left.jpg,button,L,,,,,,,,
,,,,,,,,375973,001,2025-06-18_10h55.05.512,mouse,2025.1.1,Win32,60.24096386,6.1993,6.7482,[-0.04444440205891927],[0.020370377434624568],[0],[0],[1],[0.3447000000476841],1,1,5,1,1,stimuli/mouse_right.jpg,button,R,,,,,,,,
,,,,,,,,375973,001,2025-06-18_10h55.05.512,mouse,2025.1.1,Win32,60.24096386,6.75,7.3523,[-0.04444440205891927],[0.020370377434624568],[1],[0],[0],[0.40159999996424034],1,2,6,0,1,stimuli/mouse_left.jpg,button,L,,,,,,,,
,,,,,,,,375973,001,2025-06-18_10h55.05.512,mouse,2025.1.1,Win32,60.24096386,7.3535,7.9138,[-0.04444440205891927],[0.020370377434624568],[0],[0],[1],[0.348100000023841],1,3,7,3,1,stimuli/mouse_right.jpg,button,R,,,,,,,,
,,,,,,,,375973,001,2025-06-18_10h55.05.512,mouse,2025.1.1,Win32,60.24096386,7.9152,8.5194,[-0.04444440205891927],[0.020370377434624568],[1],[0],[0],[0.38840000003576236],2,0,8,0,1,stimuli/mouse_left.jpg,button,L,,,,,,,,
,,,,,,,,375973,001,2025-06-18_10h55.05.512,mouse,2025.1.1,Win32,60.24096386,8.5197,9.0799,[-0.04444440205891927],[0.020370377434624568],[0],[0],[1],[0.3475999999642365],2,1,9,3,1,stimuli/mouse_right.jpg,button,R,,,,,,,,
,,,,,,,,375973,001,2025-06-18_10h55.05.512,mouse,2025.1.1,Win32,60.24096386,9.0818,9.6134,[-0.04444440205891927],[0.020370377434624568],[1],[0],[0],[0.32860000002384027],2,2,10,2,1,stimuli/mouse_left.jpg,button,L,,,,,,,,
,,,,,,,,375973,001,2025-06-18_10h55.05.512,mouse,2025.1.1,Win32,60.24096386,9.6149,10.2128,[-0.04444440205891927],[0.020370377434624568],[0],[0],[1],[0.3971999999880751],2,3,11,1,1,stimuli/mouse_right.jpg,button,R,,,,,,,,
,,,,,,,,375973,001,2025-06-18_10h55.05.512,mouse,2025.1.1,Win32,60.24096386,10.2141,10.9135,[-0.04444440205891927],[0.020370377434624568],[1],[0],[0],[0.48269999998807833],3,0,12,2,1,stimuli/mouse_left.jpg,button,L,,,,,,,,
,,,,,,,,375973,001,2025-06-18_10h55.05.512,mouse,2025.1.1,Win32,60.24096386,10.9148,11.521,[-0.04444440205891927],[0.020370377434624568],[0],[0],[1],[0.3908000000119216],3,1,13,3,1,stimuli/mouse_right.jpg,button,R,,,,,,,,
,,,,,,,,375973,001,2025-06-18_10h55.05.512,mouse,2025.1.1,Win32,60.24096386,11.5219,12.1625,[-0.04444440205891927],[0.020370377434624568],[0],[0],[1],[0.43309999996423443],3,2,14,1,1,stimuli/mouse_right.jpg,button,R,,,,,,,,
,,,,,,,,375973,001,2025-06-18_10h55.05.512,mouse,2025.1.1,Win32,60.24096386,12.1642,12.8292,[-0.04444440205891927],[0.020370377434624568],[1],[0],[0],[0.44830000001191905],3,3,15,0,1,stimuli/mouse_left.jpg,button,L,,,,,,,,
,,,,,,,,375973,001,2025-06-18_10h55.05.512,mouse,2025.1.1,Win32,60.24096386,12.8304,13.3958,[-0.04444440205891927],[0.020370377434624568],[0],[0],[1],[0.3480000000000061],4,0,16,1,1,stimuli/mouse_right.jpg,button,R,,,,,,,,
,,,,,,,,375973,001,2025-06-18_10h55.05.512,mouse,2025.1.1,Win32,60.24096386,13.3981,14.0127,[-0.04444440205891927],[0.020370377434624568],[1],[0],[0],[0.39869999998808225],4,1,17,2,1,stimuli/mouse_left.jpg,button,L,,,,,,,,
,,,,,,,,375973,001,2025-06-18_10h55.05.512,mouse,2025.1.1,Win32,60.24096386,14.0144,14.7125,[-0.04444440205891927],[0.020370377434624568],[1],[0],[0],[0.48280000001192036],4,2,18,0,1,stimuli/mouse_left.jpg,button,L,,,,,,,,
,,,,,,,,375973,001,2025-06-18_10h55.05.512,mouse,2025.1.1,Win32,60.24096386,14.714,15.2954,[-0.04444440205891927],[0.020370377434624568],[0],[0],[1],[0.365100000023844],4,3,19,3,1,stimuli/mouse_right.jpg,button,R,,,,,,,,
,,,,,,,,375973,001,2025-06-18_10h55.05.512,mouse,2025.1.1,Win32,60.24096386,,,,,,,,,,,,,,,,,15.297,16.4623,[0.09166668079517505],[0.020370377434624568],[1],[0],[0],[0.16600000000000392]
