instructions.started,instructions.stopped,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.time,participant,session,date,expName,psychopyVersion,OS,frameRate,trial.started,trial.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,mouse_stim_side,stim_type,stim_side,thank_you.started,thank_you.stopped,mouse_4.x,mouse_4.y,mouse_4.leftButton,mouse_4.midButton,mouse_4.rightButton,mouse_4.time
0.0001,1.9717,[-0.049262152777777776],[-0.04034288194444444],[1],[0],[0],[0.9668999999761576],393273,001,2025-06-18_17h54.51.162,mouse,2025.1.1,MacIntel,59.52380952,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,393273,001,2025-06-18_17h54.51.162,mouse,2025.1.1,MacIntel,59.52380952,1.9757,2.8389,[-0.07705295138888889],[-0.06326388888888888],[1],[0],[0],[0.6663000000715247],0,0,0,3,1,stimuli/mouse_right.jpg,button,R,,,,,,,,
,,,,,,,,393273,001,2025-06-18_17h54.51.162,mouse,2025.1.1,MacIntel,59.52380952,2.8394,3.5886,[-0.08496961805555556],[-0.0637890625],[1],[0],[0],[0.5326000000238427],0,1,1,0,1,stimuli/mouse_left.jpg,button,L,,,,,,,,
,,,,,,,,393273,001,2025-06-18_17h54.51.162,mouse,2025.1.1,MacIntel,59.52380952,3.589,4.3379,[-0.08496961805555556],[-0.0637890625],[1],[0],[0],[0.5485000000000015],0,2,2,2,1,stimuli/mouse_left.jpg,button,L,,,,,,,,
,,,,,,,,393273,001,2025-06-18_17h54.51.162,mouse,2025.1.1,MacIntel,59.52380952,4.3384,5.0546,[-0.08496961805555556],[-0.0637890625],[1],[0],[0],[0.5154999999999994],0,3,3,1,1,stimuli/mouse_right.jpg,button,R,,,,,,,,
,,,,,,,,393273,001,2025-06-18_17h54.51.162,mouse,2025.1.1,MacIntel,59.52380952,5.055,5.7389,[-0.08496961805555556],[-0.0637890625],[1],[0],[0],[0.4833000000715266],1,0,4,1,1,stimuli/mouse_right.jpg,button,R,,,,,,,,
,,,,,,,,393273,001,2025-06-18_17h54.51.162,mouse,2025.1.1,MacIntel,59.52380952,5.7392,6.4057,[-0.08496961805555556],[-0.0637890625],[1],[0],[0],[0.46579999995231347],1,1,5,2,1,stimuli/mouse_left.jpg,button,L,,,,,,,,
,,,,,,,,393273,001,2025-06-18_17h54.51.162,mouse,2025.1.1,MacIntel,59.52380952,6.4061,6.9722,[-0.08496961805555556],[-0.0637890625],[1],[0],[0],[0.3662000000476837],1,2,6,0,1,stimuli/mouse_left.jpg,button,L,,,,,,,,
,,,,,,,,393273,001,2025-06-18_17h54.51.162,mouse,2025.1.1,MacIntel,59.52380952,6.9725,7.639,[-0.08496961805555556],[-0.0637890625],[1],[0],[0],[0.44950000000000045],1,3,7,3,1,stimuli/mouse_right.jpg,button,R,,,,,,,,
,,,,,,,,393273,001,2025-06-18_17h54.51.162,mouse,2025.1.1,MacIntel,59.52380952,7.6393,8.1554,[-0.08496961805555556],[-0.0637890625],[1],[0],[0],[0.2998000000715244],2,0,8,1,1,stimuli/mouse_right.jpg,button,R,,,,,,,,
