4.0644 	EXP 	Created mouse_none = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, anchor=('center', 'center'), autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=np.False_, flipVert=np.False_, image='stimuli/mouse_none.jpg', interpolate=True, mask='stimuli/mouse_mask.jpg', maskParams=None, name='mouse_none', opacity=1, ori=0.0, pos=array([0., 0.]), size=array([0.5, 0.5]), texRes=128.0, units='height', win=Window(...))
4.0731 	EXP 	Created image = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, anchor=('center', 'center'), autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-1.0, draggable=False, flipHoriz=np.False_, flipVert=np.False_, image='default.png', interpolate=True, mask='stimuli/mouse_mask.jpg', maskParams=None, name='image', opacity=1, ori=0.0, pos=array([0., 0.]), size=array([0.5, 0.5]), texRes=128.0, units='height', win=Window(...))
4.0793 	EXP 	Created mouse_none_2 = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, anchor=('center', 'center'), autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=np.False_, flipVert=np.False_, image='stimuli/mouse_none.jpg', interpolate=True, mask='stimuli/mouse_mask.jpg', maskParams=None, name='mouse_none_2', opacity=1, ori=0.0, pos=array([0., 0.]), size=array([0.5, 0.5]), texRes=128.0, units='height', win=Window(...))
4.0860 	EXP 	Created image_2 = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, anchor=('center', 'center'), autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-1.0, draggable=False, flipHoriz=np.False_, flipVert=np.False_, image='default.png', interpolate=True, mask='stimuli/mouse_mask.jpg', maskParams=None, name='image_2', opacity=1, ori=0.0, pos=array([0., 0.]), size=array([0.5, 0.5]), texRes=128.0, units='height', win=Window(...))
0.0236 	EXP 	instrutions_text: autoDraw = True
1.2446 	DATA 	Mouse: Left button down, pos=(563,299)
1.2591 	EXP 	instrutions_text: autoDraw = False
1.2591 	EXP 	instructions_mouse_2: autoDraw = True
1.3453 	DATA 	Mouse:  Left button up, pos=(563,299)
2.7590 	EXP 	New trial (rep=0, index=0): <Trial 0 (0 in rep 0) data={'thisN': 0, 'thisTrialN': 0, 'thisRepN': 0}>
2.7616 	DEBUG 	Read csv file with pandas: conditions.csv
2.7624 	DEBUG 	Clearing unnamed columns from conditions.csv
2.7625 	EXP 	Imported conditions.csv as conditions, 2 conditions, 1 params
2.7628 	EXP 	New trial (rep=0, index=0): <Trial 0 (0 in rep 0) data={'mouse_stim_side': 'stimuli/mouse_right.jpg', 'thisN': 0, 'thisTrialN': 0, 'thisRepN': 0}>
2.7736 	EXP 	instructions_mouse_2: autoDraw = False
2.7736 	EXP 	image: image = 'stimuli/mouse_right.jpg'
2.7736 	EXP 	mouse_none: autoDraw = True
2.9575 	EXP 	image: autoDraw = True
2.9738 	EXP 	mouse_none: autoDraw = False
3.3443 	DATA 	Mouse: Right button down, pos=(557,281)
3.3447 	EXP 	New trial (rep=0, index=1): <Trial 1 (1 in rep 0) data={'mouse_stim_side': 'stimuli/mouse_left.jpg', 'thisN': 1, 'thisTrialN': 1, 'thisRepN': 0}>
3.3573 	EXP 	mouse_none: autoDraw = False
3.3573 	EXP 	image: autoDraw = False
3.3573 	EXP 	image: image = 'stimuli/mouse_left.jpg'
3.3573 	EXP 	mouse_none: autoDraw = True
3.4286 	DATA 	Mouse:  Right button up, pos=(557,281)
3.5572 	EXP 	mouse_none: autoDraw = False
3.5572 	EXP 	image: autoDraw = True
3.8590 	DATA 	Mouse: Left button down, pos=(557,281)
