thisN,thisTrialN,thisRepN,mouse_stim_side,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.time,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,instructions.started,instrutions_text.started,mouse_3.started,instructions.stopped,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.time,instructions_post.started,instructions_mouse_2.started,instructions_post.stopped,trial.started,mouse_none.started,image.started,mouse.started,mouse_none.stopped,trial.stopped,trials.mouse.x,trials.mouse.y,trials.mouse.leftButton,trials.mouse.midButton,trials.mouse.rightButton,trials.mouse.time,trial_letter.started,mouse_none_2.started,mouse_none_2.stopped,image_2.started,mouse_2.started,trial_letter.stopped,trials_2.mouse_2.x,trials_2.mouse_2.y,trials_2.mouse_2.leftButton,trials_2.mouse_2.midButton,trials_2.mouse_2.rightButton,trials_2.mouse_2.time,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.008663700020406395,0.022837999975308776,4.00663610000629,5.794036499981303,[np.float64(0.05)],[np.float64(-0.045)],[1],[0],[0],[1.8008481999859214],,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2025-06-17_22h41.33.031,mouse,,2025.1.1,60.08225260762171,2025-06-17 22h41.36.676268 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.794159099983517,5.807136800023727,8.809079099970404,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2025-06-17_22h41.33.031,mouse,,2025.1.1,60.08225260762171,2025-06-17 22h41.36.676268 +0200,
0,0,0,stimuli/mouse_left.jpg,[np.float64(0.075)],[np.float64(-0.205)],[1],[0],[0],[0.4230202999897301],,,,,,,0,0,0,0,0,0,0,0,,,,,8.822466199984774,,,,,,,,,,,,,,,8.818995199981146,8.822466199984774,9.106374999973923,9.106374999973923,9.124359700013883,9.513448200013954,[np.float64(0.075)],[np.float64(-0.205)],[1],[0],[0],[0.4230202999897301],,,,,,,,,,,,,pilot,001,2025-06-17_22h41.33.031,mouse,,2025.1.1,60.08225260762171,2025-06-17 22h41.36.676268 +0200,
1,1,0,stimuli/mouse_right.jpg,[np.float64(0.075)],[np.float64(-0.205)],[0],[0],[1],[0.29867879999801517],,,,,,,0,0,0,0,0,1,1,1,,,,,9.522544100007508,,,,,,,,,,,,,,,9.517004999972414,9.522544100007508,9.822653300012462,9.822653300012462,9.822653300012462,10.107995999976993,[np.float64(0.075)],[np.float64(-0.205)],[0],[0],[1],[0.29867879999801517],,,,,,,,,,,,,pilot,001,2025-06-17_22h41.33.031,mouse,,2025.1.1,60.08225260762171,2025-06-17 22h41.36.676268 +0200,
2,0,1,stimuli/mouse_right.jpg,[np.float64(0.075)],[np.float64(-0.205)],[0],[0],[1],[0.2831262999679893],,,,,,,0,0,0,0,1,0,2,1,,,,,10.122513099981006,,,,,,,,,,,,,,,10.110104400024284,10.122513099981006,10.422386199992616,10.422386199992616,10.422386199992616,10.691102600016166,[np.float64(0.075)],[np.float64(-0.205)],[0],[0],[1],[0.2831262999679893],,,,,,,,,,,,,pilot,001,2025-06-17_22h41.33.031,mouse,,2025.1.1,60.08225260762171,2025-06-17 22h41.36.676268 +0200,
3,1,1,stimuli/mouse_left.jpg,[np.float64(0.075)],[np.float64(-0.205)],[1],[0],[0],[0.2694232999929227],,,,,,,0,0,0,0,1,1,3,0,,,,,10.70571359997848,,,,,,,,,,,,,,,10.693265300011262,10.70571359997848,11.00622260000091,11.00622260000091,11.00622260000091,11.260898299980909,[np.float64(0.075)],[np.float64(-0.205)],[1],[0],[0],[0.2694232999929227],,,,,,,,,,,,,pilot,001,2025-06-17_22h41.33.031,mouse,,2025.1.1,60.08225260762171,2025-06-17 22h41.36.676268 +0200,
4,0,2,stimuli/mouse_left.jpg,[np.float64(0.075)],[np.float64(-0.205)],[1],[0],[0],[0.2835707999765873],,,,,,,0,0,0,0,2,0,4,0,,,,,11.272744600020815,,,,,,,,,,,,,,,11.264021900016814,11.272744600020815,11.57306189998053,11.57306189998053,11.57306189998053,11.842998499982059,[np.float64(0.075)],[np.float64(-0.205)],[1],[0],[0],[0.2835707999765873],,,,,,,,,,,,,pilot,001,2025-06-17_22h41.33.031,mouse,,2025.1.1,60.08225260762171,2025-06-17 22h41.36.676268 +0200,
5,1,2,stimuli/mouse_right.jpg,[np.float64(0.075)],[np.float64(-0.205)],[0],[0],[1],[0.2829891000292264],,,,,,,0,0,0,0,2,1,5,1,,,,,11.855814400012605,,,,,,,,,,,,,,,11.846805699984543,11.855814400012605,12.155694100016262,12.155694100016262,12.155694100016262,12.425008299993351,[np.float64(0.075)],[np.float64(-0.205)],[0],[0],[1],[0.2829891000292264],,,,,,,,,,,,,pilot,001,2025-06-17_22h41.33.031,mouse,,2025.1.1,60.08225260762171,2025-06-17 22h41.36.676268 +0200,
6,0,3,stimuli/mouse_right.jpg,[np.float64(0.075)],[np.float64(-0.205)],[0],[0],[1],[0.3008509999490343],,,,,,,0,0,0,0,3,0,6,1,,,,,12.439004999992903,,,,,,,,,,,,,,,12.427321999974083,12.439004999992903,12.740191599994432,12.740191599994432,12.740191599994432,13.02867079997668,[np.float64(0.075)],[np.float64(-0.205)],[0],[0],[1],[0.3008509999490343],,,,,,,,,,,,,pilot,001,2025-06-17_22h41.33.031,mouse,,2025.1.1,60.08225260762171,2025-06-17 22h41.36.676268 +0200,
7,1,3,stimuli/mouse_left.jpg,[np.float64(0.075)],[np.float64(-0.205)],[1],[0],[0],[0.26873449998674914],,,,,,,0,0,0,0,3,1,7,0,,,,,13.039176199992653,,,,,,,,,,,,,,,13.031384999980219,13.039176199992653,13.339657399978023,13.339657399978023,13.339657399978023,13.59662839997327,[np.float64(0.075)],[np.float64(-0.205)],[1],[0],[0],[0.26873449998674914],,,,,,,,,,,,,pilot,001,2025-06-17_22h41.33.031,mouse,,2025.1.1,60.08225260762171,2025-06-17 22h41.36.676268 +0200,
