thisN,thisTrialN,thisRepN,mouse_stim_side,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.time,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,instructions.started,instrutions_text.started,mouse_3.started,instructions.stopped,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.time,instructions_post.started,instructions_mouse_2.started,instructions_post.stopped,trial.started,mouse_none.started,image.started,mouse.started,mouse_none.stopped,trial.stopped,trials.mouse.x,trials.mouse.y,trials.mouse.leftButton,trials.mouse.midButton,trials.mouse.rightButton,trials.mouse.time,trial_letter.started,mouse_none_2.started,mouse_none_2.stopped,image_2.started,mouse_2.started,trial_letter.stopped,trials_2.mouse_2.x,trials_2.mouse_2.y,trials_2.mouse_2.leftButton,trials_2.mouse_2.midButton,trials_2.mouse_2.rightButton,trials_2.mouse_2.time,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
8,0,4,stimuli/mouse_left.jpg,[np.float64(0.075)],[np.float64(-0.205)],[1],[0],[0],[0.29878429998643696],,,,,,,0,0,0,0,4,0,8,0,,,,,13.606008699978702,,,,,,,,,,,,,,,13.600223299989011,13.606008699978702,13.906200899975374,13.906200899975374,13.906200899975374,14.191775600018445,[np.float64(0.075)],[np.float64(-0.205)],[1],[0],[0],[0.29878429998643696],,,,,,,,,,,,,pilot,001,2025-06-17_22h41.33.031,mouse,,2025.1.1,60.08225260762171,2025-06-17 22h41.36.676268 +0200,
9,1,4,stimuli/mouse_right.jpg,[np.float64(0.075)],[np.float64(-0.205)],[0],[0],[1],[0.2677599999587983],,,,,,,0,0,0,0,4,1,9,1,,,,,14.20578249997925,,,,,,,,,,,,,,,14.193792700010817,14.20578249997925,14.506829000019934,14.506829000019934,14.506829000019934,14.760791099979542,[np.float64(0.075)],[np.float64(-0.205)],[0],[0],[1],[0.2677599999587983],,,,,,,,,,,,,pilot,001,2025-06-17_22h41.33.031,mouse,,2025.1.1,60.08225260762171,2025-06-17 22h41.36.676268 +0200,
10,0,5,stimuli/mouse_left.jpg,[np.float64(0.075)],[np.float64(-0.205)],[1],[0],[0],[0.23315539996838197],,,,,,,0,0,0,0,5,0,10,0,,,,,14.772700599976815,,,,,,,,,,,,,,,14.764224099984858,14.772700599976815,15.07235520001268,15.07235520001268,15.07235520001268,15.293429500015918,[np.float64(0.075)],[np.float64(-0.205)],[1],[0],[0],[0.23315539996838197],,,,,,,,,,,,,pilot,001,2025-06-17_22h41.33.031,mouse,,2025.1.1,60.08225260762171,2025-06-17 22h41.36.676268 +0200,
11,1,5,stimuli/mouse_right.jpg,[np.float64(0.075)],[np.float64(-0.205)],[0],[0],[1],[0.24967769999057055],,,,,,,0,0,0,0,5,1,11,1,,,,,15.306288000021596,,,,,,,,,,,,,,,15.297075500013307,15.306288000021596,15.607354099978693,15.607354099978693,15.607354099978693,15.843958600016776,[np.float64(0.075)],[np.float64(-0.205)],[0],[0],[1],[0.24967769999057055],,,,,,,,,,,,,pilot,001,2025-06-17_22h41.33.031,mouse,,2025.1.1,60.08225260762171,2025-06-17 22h41.36.676268 +0200,
12,0,6,stimuli/mouse_left.jpg,[np.float64(0.075)],[np.float64(-0.205)],[1],[0],[0],[0.2685838000033982],,,,,,,0,0,0,0,6,0,12,0,,,,,15.85590999998385,,,,,,,,,,,,,,,15.846944799995981,15.85590999998385,16.15679999999702,16.15679999999702,16.15679999999702,16.410739200015087,[np.float64(0.075)],[np.float64(-0.205)],[1],[0],[0],[0.2685838000033982],,,,,,,,,,,,,pilot,001,2025-06-17_22h41.33.031,mouse,,2025.1.1,60.08225260762171,2025-06-17 22h41.36.676268 +0200,
13,1,6,stimuli/mouse_right.jpg,[np.float64(0.075)],[np.float64(-0.205)],[0],[0],[1],[0.3165764000150375],,,,,,,0,0,0,0,6,1,13,1,,,,,16.42239189997781,,,,,,,,,,,,,,,16.41366459999699,16.42239189997781,16.722891499986872,16.722891499986872,16.722891499986872,17.024547400011215,[np.float64(0.075)],[np.float64(-0.205)],[0],[0],[1],[0.3165764000150375],,,,,,,,,,,,,pilot,001,2025-06-17_22h41.33.031,mouse,,2025.1.1,60.08225260762171,2025-06-17 22h41.36.676268 +0200,
14,0,7,stimuli/mouse_right.jpg,[np.float64(0.075)],[np.float64(-0.205)],[0],[0],[1],[0.3306076999870129],,,,,,,0,0,0,0,7,0,14,1,,,,,17.03905780002242,,,,,,,,,,,,,,,17.026711700018495,17.03905780002242,17.339927099994384,17.339927099994384,17.339927099994384,17.65938779996941,[np.float64(0.075)],[np.float64(-0.205)],[0],[0],[1],[0.3306076999870129],,,,,,,,,,,,,pilot,001,2025-06-17_22h41.33.031,mouse,,2025.1.1,60.08225260762171,2025-06-17 22h41.36.676268 +0200,
15,1,7,stimuli/mouse_left.jpg,[np.float64(0.075)],[np.float64(-0.205)],[1],[0],[0],[0.28518790000816807],,,,,,,0,0,0,0,7,1,15,0,,,,,17.672532900003716,,,,,,,,,,,,,,,17.661951299989596,17.672532900003716,17.972853099985514,17.972853099985514,17.972853099985514,18.244385999976657,[np.float64(0.075)],[np.float64(-0.205)],[1],[0],[0],[0.28518790000816807],,,,,,,,,,,,,pilot,001,2025-06-17_22h41.33.031,mouse,,2025.1.1,60.08225260762171,2025-06-17 22h41.36.676268 +0200,
16,0,8,stimuli/mouse_right.jpg,[np.float64(0.075)],[np.float64(-0.205)],[0],[0],[1],[0.2852034000097774],,,,,,,0,0,0,0,8,0,16,1,,,,,18.25654829997802,,,,,,,,,,,,,,,18.24767700000666,18.25654829997802,18.556503299972974,18.556503299972974,18.556503299972974,18.827059699979145,[np.float64(0.075)],[np.float64(-0.205)],[0],[0],[1],[0.2852034000097774],,,,,,,,,,,,,pilot,001,2025-06-17_22h41.33.031,mouse,,2025.1.1,60.08225260762171,2025-06-17 22h41.36.676268 +0200,
17,1,8,stimuli/mouse_left.jpg,[np.float64(0.075)],[np.float64(-0.205)],[1],[0],[0],[0.2837396000395529],,,,,,,0,0,0,0,8,1,17,0,,,,,18.83983279997483,,,,,,,,,,,,,,,18.829320800025016,18.83983279997483,19.140065199986566,19.140065199986566,19.140065199986566,19.410250700020697,[np.float64(0.075)],[np.float64(-0.205)],[1],[0],[0],[0.2837396000395529],,,,,,,,,,,,,pilot,001,2025-06-17_22h41.33.031,mouse,,2025.1.1,60.08225260762171,2025-06-17 22h41.36.676268 +0200,
18,0,9,stimuli/mouse_right.jpg,[np.float64(0.075)],[np.float64(-0.205)],[0],[0],[1],[0.23429760005092248],,,,,,,0,0,0,0,9,0,18,1,,,,,19.423376700025983,,,,,,,,,,,,,,,19.412646599987056,19.423376700025983,19.722343000001274,19.722343000001274,19.73965699999826,19.941395899979398,[np.float64(0.075)],[np.float64(-0.205)],[0],[0],[1],[0.23429760005092248],,,,,,,,,,,,,pilot,001,2025-06-17_22h41.33.031,mouse,,2025.1.1,60.08225260762171,2025-06-17 22h41.36.676268 +0200,
19,1,9,stimuli/mouse_left.jpg,[np.float64(0.075)],[np.float64(-0.205)],[1],[0],[0],[0.2505369000136852],,,,,,,0,0,0,0,9,1,19,0,,,,,19.95597369997995,,,,,,,,,,,,,,,19.943351300025824,19.95597369997995,20.256014099984895,20.256014099984895,20.256014099984895,20.492537799989805,[np.float64(0.075)],[np.float64(-0.205)],[1],[0],[0],[0.2505369000136852],,,,,,,,,,,,,pilot,001,2025-06-17_22h41.33.031,mouse,,2025.1.1,60.08225260762171,2025-06-17 22h41.36.676268 +0200,
0,0,0,stimuli/mouse_right_letter.jpg,,,,,,,[np.float64(0.075)],[np.float64(-0.205)],[0],[0],[1],[0.18144809996010736],0,0,0,0,,,,,0,0,0,1,20.50555429997621,,,,,,,,,,,,,,,,,,,,,,,,,,,20.500800499983598,20.50555429997621,20.807048799993936,20.807048799993936,20.807048799993936,20.97521050000796,[np.float64(0.075)],[np.float64(-0.205)],[0],[0],[1],[0.18144809996010736],pilot,001,2025-06-17_22h41.33.031,mouse,,2025.1.1,60.08225260762171,2025-06-17 22h41.36.676268 +0200,
1,1,0,stimuli/mouse_left_letter.jpg,,,,,,,[np.float64(0.075)],[np.float64(-0.205)],[1],[0],[0],[0.3361084000207484],0,0,0,0,,,,,0,1,1,0,20.989324999973178,,,,,,,,,,,,,,,,,,,,,,,,,,,20.97792739997385,20.989324999973178,21.289181799977086,21.289181799977086,21.289181799977086,21.611308299994562,[np.float64(0.075)],[np.float64(-0.205)],[1],[0],[0],[0.3361084000207484],pilot,001,2025-06-17_22h41.33.031,mouse,,2025.1.1,60.08225260762171,2025-06-17 22h41.36.676268 +0200,
2,0,1,stimuli/mouse_left_letter.jpg,,,,,,,[np.float64(0.075)],[np.float64(-0.205)],[1],[0],[0],[0.31888459995388985],0,0,0,0,,,,,1,0,2,0,21.622352799982764,,,,,,,,,,,,,,,,,,,,,,,,,,,21.614518299989868,21.622352799982764,21.92293719999725,21.92293719999725,21.92293719999725,22.227282500010915,[np.float64(0.075)],[np.float64(-0.205)],[1],[0],[0],[0.31888459995388985],pilot,001,2025-06-17_22h41.33.031,mouse,,2025.1.1,60.08225260762171,2025-06-17 22h41.36.676268 +0200,
3,1,1,stimuli/mouse_right_letter.jpg,,,,,,,[np.float64(0.075)],[np.float64(-0.205)],[0],[0],[1],[0.2671545999473892],0,0,0,0,,,,,1,1,3,1,22.238959299982525,,,,,,,,,,,,,,,,,,,,,,,,,,,22.22933160001412,22.238959299982525,22.53896929998882,22.53896929998882,22.53896929998882,22.792549700010568,[np.float64(0.075)],[np.float64(-0.205)],[0],[0],[1],[0.2671545999473892],pilot,001,2025-06-17_22h41.33.031,mouse,,2025.1.1,60.08225260762171,2025-06-17 22h41.36.676268 +0200,
0,0,0,stimuli/mouse_left.jpg,[np.float64(0.075)],[np.float64(-0.205)],[1],[0],[0],[0.3506913000019267],,,,,,,1,0,1,0,0,0,0,0,,,,,22.80578679998871,,,,,,,,,,,,,,,22.79770210001152,22.80578679998871,23.106899400008842,23.106899400008842,23.106899400008842,23.4464672000031,[np.float64(0.075)],[np.float64(-0.205)],[1],[0],[0],[0.3506913000019267],,,,,,,,,,,,,pilot,001,2025-06-17_22h41.33.031,mouse,,2025.1.1,60.08225260762171,2025-06-17 22h41.36.676268 +0200,
1,1,0,stimuli/mouse_right.jpg,[np.float64(0.075)],[np.float64(-0.205)],[0],[0],[1],[0.23401160002686083],,,,,,,1,0,1,0,0,1,1,1,,,,,23.456670799991116,,,,,,,,,,,,,,,23.450929799990263,23.456670799991116,23.75573269999586,23.75573269999586,23.75573269999586,23.975242500018794,[np.float64(0.075)],[np.float64(-0.205)],[0],[0],[1],[0.23401160002686083],,,,,,,,,,,,,pilot,001,2025-06-17_22h41.33.031,mouse,,2025.1.1,60.08225260762171,2025-06-17 22h41.36.676268 +0200,
2,0,1,stimuli/mouse_right.jpg,[np.float64(0.075)],[np.float64(-0.205)],[0],[0],[1],[0.29678420000709593],,,,,,,1,0,1,0,1,0,2,1,,,,,23.989899999985937,,,,,,,,,,,,,,,23.977753199986182,23.989899999985937,24.27428080001846,24.27428080001846,24.29105040000286,24.55879390001064,[np.float64(0.075)],[np.float64(-0.205)],[0],[0],[1],[0.29678420000709593],,,,,,,,,,,,,pilot,001,2025-06-17_22h41.33.031,mouse,,2025.1.1,60.08225260762171,2025-06-17 22h41.36.676268 +0200,
3,1,1,stimuli/mouse_left.jpg,[np.float64(0.075)],[np.float64(-0.205)],[1],[0],[0],[0.19759789999807253],,,,,,,1,0,1,0,1,1,3,0,,,,,24.57266469998285,,,,,,,,,,,,,,,24.56236410001293,24.57266469998285,24.873487500008196,24.873487500008196,24.873487500008196,25.057319600018673,[np.float64(0.075)],[np.float64(-0.205)],[1],[0],[0],[0.19759789999807253],,,,,,,,,,,,,pilot,001,2025-06-17_22h41.33.031,mouse,,2025.1.1,60.08225260762171,2025-06-17 22h41.36.676268 +0200,
4,0,2,stimuli/mouse_left.jpg,[np.float64(0.075)],[np.float64(-0.205)],[1],[0],[0],[0.28401159995701164],,,,,,,1,0,1,0,2,0,4,0,,,,,25.07250050001312,,,,,,,,,,,,,,,25.059413800016046,25.07250050001312,25.37235469999723,25.37235469999723,25.37235469999723,25.64133309997851,[np.float64(0.075)],[np.float64(-0.205)],[1],[0],[0],[0.28401159995701164],,,,,,,,,,,,,pilot,001,2025-06-17_22h41.33.031,mouse,,2025.1.1,60.08225260762171,2025-06-17 22h41.36.676268 +0200,
5,1,2,stimuli/mouse_right.jpg,[np.float64(0.075)],[np.float64(-0.205)],[0],[0],[1],[0.1534686000086367],,,,,,,1,0,1,0,2,1,5,1,,,,,25.65638429997489,,,,,,,,,,,,,,,25.643565999984276,25.65638429997489,25.95543109998107,25.95543109998107,25.95543109998107,26.094203000015114,[np.float64(0.075)],[np.float64(-0.205)],[0],[0],[1],[0.1534686000086367],,,,,,,,,,,,,pilot,001,2025-06-17_22h41.33.031,mouse,,2025.1.1,60.08225260762171,2025-06-17 22h41.36.676268 +0200,
6,0,3,stimuli/mouse_right.jpg,[np.float64(0.075)],[np.float64(-0.205)],[1],[0],[0],[0.20406429999275133],,,,,,,1,0,1,0,3,0,6,1,,,,,26.10586060001515,,,,,,,,,,,,,,,26.097217499976978,26.10586060001515,26.406207300024107,26.406207300024107,26.406207300024107,26.597421600017697,[np.float64(0.075)],[np.float64(-0.205)],[1],[0],[0],[0.20406429999275133],,,,,,,,,,,,,pilot,001,2025-06-17_22h41.33.031,mouse,,2025.1.1,60.08225260762171,2025-06-17 22h41.36.676268 +0200,
7,1,3,stimuli/mouse_left.jpg,[np.float64(0.075)],[np.float64(-0.205)],[1],[0],[0],[0.13413819996640086],,,,,,,1,0,1,0,3,1,7,0,,,,,26.622292899992317,,,,,,,,,,,,,,,26.60346870002104,26.622292899992317,26.906714299984742,26.906714299984742,26.923496300005354,27.027678699989337,[np.float64(0.075)],[np.float64(-0.205)],[1],[0],[0],[0.13413819996640086],,,,,,,,,,,,,pilot,001,2025-06-17_22h41.33.031,mouse,,2025.1.1,60.08225260762171,2025-06-17 22h41.36.676268 +0200,
8,0,4,stimuli/mouse_right.jpg,[np.float64(0.075)],[np.float64(-0.205)],[0],[0],[1],[0.50007980002556],,,,,,,1,0,1,0,4,0,8,1,,,,,27.039393400016706,,,,,,,,,,,,,,,27.030961100012064,27.039393400016706,27.339244899980258,27.339244899980258,27.339244899980258,27.828581399982795,[np.float64(0.075)],[np.float64(-0.205)],[0],[0],[1],[0.50007980002556],,,,,,,,,,,,,pilot,001,2025-06-17_22h41.33.031,mouse,,2025.1.1,60.08225260762171,2025-06-17 22h41.36.676268 +0200,
9,1,4,stimuli/mouse_left.jpg,[np.float64(0.075)],[np.float64(-0.205)],[1],[0],[0],[0.20042250002734363],,,,,,,1,0,1,0,4,1,9,0,,,,,27.839752100000624,,,,,,,,,,,,,,,27.832679699989967,27.839752100000624,28.139945800008718,28.139945800008718,28.139945800008718,28.328232700005174,[np.float64(0.075)],[np.float64(-0.205)],[1],[0],[0],[0.20042250002734363],,,,,,,,,,,,,pilot,001,2025-06-17_22h41.33.031,mouse,,2025.1.1,60.08225260762171,2025-06-17 22h41.36.676268 +0200,
10,0,5,stimuli/mouse_right.jpg,[np.float64(0.075)],[np.float64(-0.205)],[0],[0],[1],[0.21236549998866394],,,,,,,1,0,1,0,5,0,10,1,,,,,28.33915979997255,,,,,,,,,,,,,,,28.33252380002523,28.33915979997255,28.63953169999877,28.63953169999877,28.63953169999877,28.842234799987637,[np.float64(0.075)],[np.float64(-0.205)],[0],[0],[1],[0.21236549998866394],,,,,,,,,,,,,pilot,001,2025-06-17_22h41.33.031,mouse,,2025.1.1,60.08225260762171,2025-06-17 22h41.36.676268 +0200,
11,1,5,stimuli/mouse_left.jpg,,,,,,,,,,,,,,,,,5,1,11,0,,,,,28.857179199985694,,,,,,,,,,,,,,,28.845964699983597,28.857179199985694,29.15661970002111,29.15661970002111,29.15661970002111,,,,,,,,,,,,,,,,,,,,,,,,,,,,
