instructions.started,instructions.stopped,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.time,participant,session,date,expName,psychopyVersion,OS,frameRate,trial.started,trial.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,mouse_stim_side,stim_type,stim_side,thank_you.started
0.0003,1.9221,[-0.04722220809371383],[0.003703682510941117],[1],[0],[0],[0.9147999999998135],835789,001,2025-06-18_16h55.06.813,mouse,2025.1.1,Win32,144.9275362,,,,,,,,,,,,,,,,,
,,,,,,,,835789,001,2025-06-18_16h55.06.813,mouse,2025.1.1,Win32,144.9275362,1.9321,2.7803,[-0.048148119891131366],[0.008333312140570747],[1],[0],[0],[0.6503999999994416],0,0,0,2,1,stimuli/mouse_left.jpg,button,L,
,,,,,,,,835789,001,2025-06-18_16h55.06.813,mouse,2025.1.1,Win32,144.9275362,2.7818,3.2555,[-0.0490740316885489],[0.008333312140570747],[0],[0],[1],[0.2729999999999997],0,1,1,1,1,stimuli/mouse_right.jpg,button,R,
,,,,,,,,835789,001,2025-06-18_16h55.06.813,mouse,2025.1.1,Win32,144.9275362,3.2564,3.7562,[-0.0490740316885489],[0.005555541427047165],[1],[0],[0],[0.2962000000001863],0,2,2,0,1,stimuli/mouse_left.jpg,button,L,
,,,,,,,,835789,001,2025-06-18_16h55.06.813,mouse,2025.1.1,Win32,144.9275362,3.7572,4.145,[-0.0490740316885489],[0.005555541427047165],[0],[0],[1],[0.185799999999813],0,3,3,3,1,stimuli/mouse_right.jpg,button,R,
,,,,,,,,835789,001,2025-06-18_16h55.06.813,mouse,2025.1.1,Win32,144.9275362,4.1461,4.5801,[-0.0490740316885489],[-0.0018518589161060474],[1],[0],[0],[0.22750000000000004],1,0,4,1,1,stimuli/mouse_right.jpg,button,R,
,,,,,,,,835789,001,2025-06-18_16h55.06.813,mouse,2025.1.1,Win32,144.9275362,4.5813,5.4323,[-0.0490740316885489],[-0.0018518589161060474],[1],[0],[0],[0.6459000000003732],1,1,5,2,1,stimuli/mouse_left.jpg,button,L,
,,,,,,,,835789,001,2025-06-18_16h55.06.813,mouse,2025.1.1,Win32,144.9275362,5.4333,6.0195,[-0.048148119891131366],[-0.0009259471186885128],[1],[0],[0],[0.3858000000007449],1,2,6,0,1,stimuli/mouse_left.jpg,button,L,
,,,,,,,,835789,001,2025-06-18_16h55.06.813,mouse,2025.1.1,Win32,144.9275362,6.0206,6.6952,[-0.048148119891131366],[-0.0009259471186885128],[0],[0],[1],[0.47129999999981287],1,3,7,3,1,stimuli/mouse_right.jpg,button,R,
,,,,,,,,835789,001,2025-06-18_16h55.06.813,mouse,2025.1.1,Win32,144.9275362,6.696,7.4493,[-0.048148119891131366],[-0.0009259471186885128],[0],[0],[1],[0.550599999999628],2,0,8,3,1,stimuli/mouse_right.jpg,button,R,
