instructions.started,instructions.stopped,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.time,participant,session,date,expName,psychopyVersion,OS,frameRate,trial.started,trial.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,mouse_stim_side,stim_type,stim_side,thank_you.started
,,,,,,,,835789,001,2025-06-18_16h55.06.813,mouse,2025.1.1,Win32,144.9275362,7.45,8.0352,[-0.048148119891131366],[-0.0009259471186885128],[1],[0],[0],[0.38359999999962824],2,1,9,2,1,stimuli/mouse_left.jpg,button,L,
,,,,,,,,835789,001,2025-06-18_16h55.06.813,mouse,2025.1.1,Win32,144.9275362,8.0364,8.7348,[-0.048148119891131366],[0.0009259117974175347],[1],[0],[0],[0.49630000000074403],2,2,10,0,1,stimuli/mouse_left.jpg,button,L,
,,,,,,,,835789,001,2025-06-18_16h55.06.813,mouse,2025.1.1,Win32,144.9275362,8.7356,9.34,[-0.048148119891131366],[0.0027777707135235824],[0],[0],[1],[0.4017999999998132],2,3,11,1,1,stimuli/mouse_right.jpg,button,R,
,,,,,,,,835789,001,2025-06-18_16h55.06.813,mouse,2025.1.1,Win32,144.9275362,9.341,9.9221,[-0.048148119891131366],[0.0027777707135235824],[1],[0],[0],[0.379999999999999],3,0,12,0,1,stimuli/mouse_left.jpg,button,L,
,,,,,,,,835789,001,2025-06-18_16h55.06.813,mouse,2025.1.1,Win32,144.9275362,9.923,10.4844,[-0.048148119891131366],[0.005555541427047165],[0],[0],[1],[0.36110000000056],3,1,13,1,1,stimuli/mouse_right.jpg,button,R,
,,,,,,,,835789,001,2025-06-18_16h55.06.813,mouse,2025.1.1,Win32,144.9275362,10.4851,11.1355,[-0.048148119891131366],[0.005555541427047165],[1],[0],[0],[0.44359999999962696],3,2,14,2,1,stimuli/mouse_left.jpg,button,L,
,,,,,,,,835789,001,2025-06-18_16h55.06.813,mouse,2025.1.1,Win32,144.9275362,11.1369,11.8086,[-0.048148119891131366],[0.006481488545735677],[0],[0],[1],[0.46920000000018547],3,3,15,3,1,stimuli/mouse_right.jpg,button,R,
,,,,,,,,835789,001,2025-06-18_16h55.06.813,mouse,2025.1.1,Win32,144.9275362,11.8095,12.6071,[-0.048148119891131366],[0.006481488545735677],[0],[0],[1],[0.5932999999998128],4,0,16,3,1,stimuli/mouse_right.jpg,button,R,
,,,,,,,,835789,001,2025-06-18_16h55.06.813,mouse,2025.1.1,Win32,144.9275362,12.6087,13.1707,[-0.048148119891131366],[0.006481488545735677],[1],[0],[0],[0.35970000000018487],4,1,17,0,1,stimuli/mouse_left.jpg,button,L,
,,,,,,,,835789,001,2025-06-18_16h55.06.813,mouse,2025.1.1,Win32,144.9275362,13.1714,13.9756,[-0.048148119891131366],[0.005555541427047165],[1],[0],[0],[0.60370000000019],4,2,18,2,1,stimuli/mouse_left.jpg,button,L,
,,,,,,,,835789,001,2025-06-18_16h55.06.813,mouse,2025.1.1,Win32,144.9275362,13.9765,15.456,[-0.026851865980360243],[0.020370377434624568],[0],[0],[1],[1.2736000000005596],4,3,19,1,1,stimuli/mouse_right.jpg,button,R,
,,,,,,,,835789,001,2025-06-18_16h55.06.813,mouse,2025.1.1,Win32,144.9275362,,,,,,,,,,,,,,,,,15.4566
