instructions.started,instructions.stopped,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.time,participant,session,date,expName,psychopyVersion,OS,frameRate,trial.started,trial.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,mouse_stim_side,stim_type,stim_side,thank_you.started,thank_you.stopped,mouse_4.x,mouse_4.y,mouse_4.leftButton,mouse_4.midButton,mouse_4.rightButton,mouse_4.time
0,3.073,[-0.15608465608465608],[-0.16084656084656085],[1],[0],[0],[2.0669999999999993],868984,001,2025-06-18_15h54.52.940,mouse,2025.1.1,MacIntel,127.5510204,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,868984,001,2025-06-18_15h54.52.940,mouse,2025.1.1,MacIntel,127.5510204,3.075,3.656,[-0.15608465608465608],[-0.16084656084656085],[1],[0],[0],[0.3730000000000002],0,0,0,0,1,stimuli/mouse_left.jpg,button,L,,,,,,,,
,,,,,,,,868984,001,2025-06-18_15h54.52.940,mouse,2025.1.1,MacIntel,127.5510204,3.659,4.29,[-0.15608465608465608],[-0.16084656084656085],[1],[0],[0],[0.43299999999999983],0,1,1,3,1,stimuli/mouse_right.jpg,button,R,,,,,,,,
,,,,,,,,868984,001,2025-06-18_15h54.52.940,mouse,2025.1.1,MacIntel,127.5510204,4.291,4.907,[-0.15555555555555556],[-0.16031746031746033],[1],[0],[0],[0.4079999999999995],0,2,2,2,1,stimuli/mouse_left.jpg,button,L,,,,,,,,
,,,,,,,,868984,001,2025-06-18_15h54.52.940,mouse,2025.1.1,MacIntel,127.5510204,4.907,5.489,[-0.15555555555555556],[-0.164021164021164],[1],[0],[0],[0.3800000000000008],0,3,3,1,1,stimuli/mouse_right.jpg,button,R,,,,,,,,
,,,,,,,,868984,001,2025-06-18_15h54.52.940,mouse,2025.1.1,MacIntel,127.5510204,5.489,6.156,[-0.15555555555555556],[-0.164021164021164],[1],[0],[0],[0.4659999999999993],1,0,4,1,1,stimuli/mouse_right.jpg,button,R,,,,,,,,
,,,,,,,,868984,001,2025-06-18_15h54.52.940,mouse,2025.1.1,MacIntel,127.5510204,6.157,6.723,[-0.15555555555555556],[-0.164021164021164],[1],[0],[0],[0.3650000000000002],1,1,5,0,1,stimuli/mouse_left.jpg,button,L,,,,,,,,
,,,,,,,,868984,001,2025-06-18_15h54.52.940,mouse,2025.1.1,MacIntel,127.5510204,6.724,7.339,[-0.15555555555555556],[-0.164021164021164],[1],[0],[0],[0.4079999999999995],1,2,6,2,1,stimuli/mouse_left.jpg,button,L,,,,,,,,
,,,,,,,,868984,001,2025-06-18_15h54.52.940,mouse,2025.1.1,MacIntel,127.5510204,7.34,7.873,[-0.15555555555555556],[-0.164021164021164],[1],[0],[0],[0.3330000000000002],1,3,7,3,1,stimuli/mouse_right.jpg,button,R,,,,,,,,
,,,,,,,,868984,001,2025-06-18_15h54.52.940,mouse,2025.1.1,MacIntel,127.5510204,7.874,8.389,[-0.15555555555555556],[-0.164021164021164],[1],[0],[0],[0.3070000000000004],2,0,8,2,1,stimuli/mouse_left.jpg,button,L,,,,,,,,
,,,,,,,,868984,001,2025-06-18_15h54.52.940,mouse,2025.1.1,MacIntel,127.5510204,8.39,8.939,[-0.15555555555555556],[-0.164021164021164],[1],[0],[0],[0.34699999999999953],2,1,9,3,1,stimuli/mouse_right.jpg,button,R,,,,,,,,
,,,,,,,,868984,001,2025-06-18_15h54.52.940,mouse,2025.1.1,MacIntel,127.5510204,8.94,9.557,[-0.15555555555555556],[-0.16455026455026456],[1],[0],[0],[0.4089999999999989],2,2,10,1,1,stimuli/mouse_right.jpg,button,R,,,,,,,,
,,,,,,,,868984,001,2025-06-18_15h54.52.940,mouse,2025.1.1,MacIntel,127.5510204,9.557,10.073,[-0.1634920634920635],[-0.15502645502645504],[1],[0],[0],[0.3089999999999993],2,3,11,0,1,stimuli/mouse_left.jpg,button,L,,,,,,,,
,,,,,,,,868984,001,2025-06-18_15h54.52.940,mouse,2025.1.1,MacIntel,127.5510204,10.073,10.607,[-0.1634920634920635],[-0.15502645502645504],[1],[0],[0],[0.3310000000000013],3,0,12,3,1,stimuli/mouse_right.jpg,button,R,,,,,,,,
,,,,,,,,868984,001,2025-06-18_15h54.52.940,mouse,2025.1.1,MacIntel,127.5510204,10.607,11.191,[-0.1634920634920635],[-0.15502645502645504],[1],[0],[0],[0.375],3,1,13,1,1,stimuli/mouse_right.jpg,button,R,,,,,,,,
,,,,,,,,868984,001,2025-06-18_15h54.52.940,mouse,2025.1.1,MacIntel,127.5510204,11.191,11.823,[-0.1634920634920635],[-0.15502645502645504],[1],[0],[0],[0.4220000000000006],3,2,14,0,1,stimuli/mouse_left.jpg,button,L,,,,,,,,
,,,,,,,,868984,001,2025-06-18_15h54.52.940,mouse,2025.1.1,MacIntel,127.5510204,11.823,12.423,[-0.1634920634920635],[-0.15502645502645504],[1],[0],[0],[0.39199999999999946],3,3,15,2,1,stimuli/mouse_left.jpg,button,L,,,,,,,,
,,,,,,,,868984,001,2025-06-18_15h54.52.940,mouse,2025.1.1,MacIntel,127.5510204,12.424,13.023,[-0.1634920634920635],[-0.15502645502645504],[1],[0],[0],[0.39199999999999946],4,0,16,3,1,stimuli/mouse_right.jpg,button,R,,,,,,,,
,,,,,,,,868984,001,2025-06-18_15h54.52.940,mouse,2025.1.1,MacIntel,127.5510204,13.023,13.607,[-0.1634920634920635],[-0.15502645502645504],[1],[0],[0],[0.375],4,1,17,0,1,stimuli/mouse_left.jpg,button,L,,,,,,,,
,,,,,,,,868984,001,2025-06-18_15h54.52.940,mouse,2025.1.1,MacIntel,127.5510204,13.607,14.239,[-0.1634920634920635],[-0.15502645502645504],[1],[0],[0],[0.4250000000000007],4,2,18,1,1,stimuli/mouse_right.jpg,button,R,,,,,,,,
,,,,,,,,868984,001,2025-06-18_15h54.52.940,mouse,2025.1.1,MacIntel,127.5510204,14.24,14.873,[-0.1634920634920635],[-0.15502645502645504],[1],[0],[0],[0.42199999999999704],4,3,19,2,1,stimuli/mouse_left.jpg,button,L,,,,,,,,
,,,,,,,,868984,001,2025-06-18_15h54.52.940,mouse,2025.1.1,MacIntel,127.5510204,,,,,,,,,,,,,,,,,14.873,16.523,[-0.1634920634920635],[-0.1544973544973545],[1],[0],[0],[0.6500000000000021]
